Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Turkey,38.9637,35.2433,335533,8837.0,2020-10-12,04:23:45
,Turkey,38.9637,35.2433,337147,8895.0,2020-10-13,04:24:02
,Turkey,38.9637,35.2433,338779,8957.0,2020-10-14,04:24:05
,Turkey,38.9637,35.2433,340450,9014.0,2020-10-15,04:24:28
,Turkey,38.9637,35.2433,342143,9080.0,2020-10-16,04:24:01
,Turkey,38.9637,35.2433,343955,9153.0,2020-10-17,04:24:12
,Turkey,38.9637,35.2433,345678,9224.0,2020-10-18,04:24:25
,Turkey,38.9637,35.2433,347493,9296.0,2020-10-19,04:24:16
,Turkey,38.9637,35.2433,349519,9371.0,2020-10-20,04:24:22
,Turkey,38.9637,35.2433,351413,9445.0,2020-10-21,04:24:14
,Turkey,38.9637,35.2433,353426,9513.0,2020-10-22,04:24:27
,Turkey,38.9637,35.2433,355528,9584.0,2020-10-23,04:24:46
,Turkey,38.9637,35.2433,357693,9658.0,2020-10-24,04:24:46
,Turkey,38.9637,35.2433,359784,9727.0,2020-10-25,04:24:36
,Turkey,38.9637,35.2433,361801,9799.0,2020-10-26,04:25:02
,Turkey,38.9637,35.2433,363999,9874.0,2020-10-27,04:24:45
,Turkey,38.9637,35.2433,366208,9950.0,2020-10-28,04:24:39
,Turkey,38.9637,35.2433,368513,10027.0,2020-10-29,04:24:49
,Turkey,38.9637,35.2433,370832,10099.0,2020-10-30,04:24:49
,Turkey,38.9637,35.2433,373154,10177.0,2020-10-31,04:24:44
,Turkey,38.9637,35.2433,375367,10252.0,2020-11-01,04:36:19
,Turkey,38.9637,35.2433,377473,10326.0,2020-11-02,05:25:04
,Turkey,38.9637,35.2433,379775,10402.0,2020-11-03,06:00:16
,Turkey,38.9637,35.2433,382118,10481.0,2020-11-04,05:25:09
,Turkey,38.9637,35.2433,384509,10558.0,2020-11-05,06:05:03
,Turkey,38.9637,35.2433,386820,10639.0,2020-11-06,05:24:55
,Turkey,38.9637,35.2433,389256,10722.0,2020-11-07,05:24:52
,Turkey,38.9637,35.2433,391739,10803.0,2020-11-08,05:24:56
,Turkey,38.9637,35.2433,394255,10887.0,2020-11-09,05:25:45
,Turkey,38.9637,35.2433,396831,10972.0,2020-11-10,05:40:07
,Turkey,38.9637,35.2433,399360,11059.0,2020-11-11,05:25:30
,Turkey,38.9637,35.2433,402053,11145.0,2020-11-12,05:25:55
,Turkey,38.9637,35.2433,404894,11233.0,2020-11-13,05:25:30
,Turkey,38.9637,35.2433,407939,11326.0,2020-11-14,05:25:37
,Turkey,38.9637,35.2433,411055,11418.0,2020-11-15,05:26:53
,Turkey,38.9637,35.2433,414278,11507.0,2020-11-16,05:25:57
,Turkey,38.9637,35.2433,417594,11601.0,2020-11-17,05:25:54
,Turkey,38.9637,35.2433,421413,11704.0,2020-11-18,05:40:31
,Turkey,38.9637,35.2433,425628,11820.0,2020-11-19,05:25:23
,Turkey,38.9637,35.2433,430170,11943.0,2020-11-20,05:26:28
,Turkey,38.9637,35.2433,435273,12084.0,2020-11-21,05:25:51
,Turkey,38.9637,35.2433,440805,12219.0,2020-11-22,05:25:45
