Admin2,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
Aleutians East,Alaska,US,55.32222414,-161.9722021,2,0.0,2020-09-02,04:28:25
Aleutians West,Alaska,US,52.3233,-174.1596,7,0.0,2020-09-02,04:28:25
Anchorage,Alaska,US,61.14998174,-149.14269860000005,3018,23.0,2020-09-02,04:28:25
Bethel,Alaska,US,60.90980451,-159.8561831,59,1.0,2020-09-02,04:28:25
Bristol Bay,Alaska,US,58.74513976,-156.701064,10,0.0,2020-09-02,04:28:25
Denali,Alaska,US,63.67264044,-150.0076108,2,0.0,2020-09-02,04:28:25
Dillingham,Alaska,US,59.79603738,-158.23819419999995,5,0.0,2020-09-02,04:28:25
Fairbanks North Star,Alaska,US,64.80726247,-146.5692662,644,8.0,2020-09-02,04:28:25
Haines,Alaska,US,59.09893571,-135.4679843,5,0.0,2020-09-02,04:28:25
Juneau,Alaska,US,58.45031811,-134.200436,177,1.0,2020-09-02,04:28:25
Kenai Peninsula,Alaska,US,60.24429722,-151.53888840000005,412,2.0,2020-09-02,04:28:25
Ketchikan Gateway,Alaska,US,55.57445008,-130.975561,47,0.0,2020-09-02,04:28:25
Kodiak Island,Alaska,US,57.65529415,-153.7493579,15,0.0,2020-09-02,04:28:25
Kusilvak,Alaska,US,62.15429159999999,-163.39678830000005,8,0.0,2020-09-02,04:28:25
Matanuska-Susitna,Alaska,US,62.31305045,-149.5741743,476,2.0,2020-09-02,04:28:25
Nome,Alaska,US,64.90320724,-164.0353804,41,0.0,2020-09-02,04:28:25
North Slope,Alaska,US,69.31479216,-153.4836093,39,0.0,2020-09-02,04:28:25
Northwest Arctic,Alaska,US,67.04919196,-159.7503946,66,0.0,2020-09-02,04:28:25
Petersburg,Alaska,US,57.13978948,-132.9540995,7,1.0,2020-09-02,04:28:25
Prince of Wales-Hyder,Alaska,US,55.76261984,-133.0511621,25,0.0,2020-09-02,04:28:25
Sitka,Alaska,US,57.24124555,-135.3206587,38,0.0,2020-09-02,04:28:25
Southeast Fairbanks,Alaska,US,63.87692095,-143.2127643,18,0.0,2020-09-02,04:28:25
Unassigned,Alaska,US,,,2,0.0,2020-09-02,04:28:25
