Admin2,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
Alameda,California,US,37.64629437,-121.8929271,87668,1253,2021-04-23,04:20:52
Alpine,California,US,38.59678594,-119.8223594,88,0,2021-04-23,04:20:52
Amador,California,US,38.44583082,-120.65696,3665,46,2021-04-23,04:20:52
Butte,California,US,39.66727762,-121.6005252,13369,196,2021-04-23,04:20:52
Calaveras,California,US,38.20537103,-120.552913,2070,50,2021-04-23,04:20:52
Colusa,California,US,39.17881957,-122.2331726,2207,14,2021-04-23,04:20:52
Contra Costa,California,US,37.91923498,-121.9289527,68213,782,2021-04-23,04:20:52
Del Norte,California,US,41.74228275,-123.8974063,1263,6,2021-04-23,04:20:52
El Dorado,California,US,38.77965956,-120.5233166,10468,106,2021-04-23,04:20:52
Fresno,California,US,36.75733899,-119.6466953,109250,1657,2021-04-23,04:20:52
Glenn,California,US,39.59875897,-122.3938452,2895,17,2021-04-23,04:20:52
Humboldt,California,US,40.69923009,-123.876044,3709,35,2021-04-23,04:20:52
Imperial,California,US,33.0393082,-115.3669042,30705,720,2021-04-23,04:20:52
Inyo,California,US,36.51112084,-117.41119779999998,1404,36,2021-04-23,04:20:52
Kern,California,US,35.34329425,-118.7277796,108131,1335,2021-04-23,04:20:52
Kings,California,US,36.07409056,-119.8159973,23763,243,2021-04-23,04:20:52
Lake,California,US,39.10124298,-122.7536244,3432,43,2021-04-23,04:20:52
Lassen,California,US,40.67311306,-120.59350990000002,5271,18,2021-04-23,04:20:52
Los Angeles,California,US,34.30828379,-118.2282411,1230398,23736,2021-04-23,04:20:52
Madera,California,US,37.21513971,-119.76655890000002,17223,231,2021-04-23,04:20:52
Marin,California,US,38.07122463,-122.7210631,14063,227,2021-04-23,04:20:52
Mariposa,California,US,37.57978556,-119.9073334,431,7,2021-04-23,04:20:52
Mendocino,California,US,39.4381191,-123.3911313,3802,46,2021-04-23,04:20:52
Merced,California,US,37.18922369,-120.7209035,31498,443,2021-04-23,04:20:52
Modoc,California,US,41.58965602,-120.7244817,481,3,2021-04-23,04:20:52
Mono,California,US,37.93899289,-118.8872409,1270,3,2021-04-23,04:20:52
Monterey,California,US,36.21862405,-121.2413397,44512,377,2021-04-23,04:20:52
Napa,California,US,38.50735751,-122.332839,9766,79,2021-04-23,04:20:52
Nevada,California,US,39.30394768,-120.7627281,4687,70,2021-04-23,04:20:52
Orange,California,US,33.70147516,-117.76459979999998,269352,4910,2021-04-23,04:20:52
Placer,California,US,39.06167234,-120.7240569,23299,282,2021-04-23,04:20:52
Plumas,California,US,40.00355989,-120.8395236,680,4,2021-04-23,04:20:52
Riverside,California,US,33.74314981,-115.9933578,300045,4398,2021-04-23,04:20:52
Sacramento,California,US,38.45106826,-121.3425374,103449,1585,2021-04-23,04:20:52
San Benito,California,US,36.60308176,-121.069975,6105,63,2021-04-23,04:20:52
San Bernardino,California,US,34.84060306,-116.1774685,298936,4571,2021-04-23,04:20:52
San Diego,California,US,33.03484597,-116.7365326,290230,3684,2021-04-23,04:20:52
San Francisco,California,US,37.75215114,-122.4385672,37449,532,2021-04-23,04:20:52
San Joaquin,California,US,37.93433732,-121.2730061,74091,1295,2021-04-23,04:20:52
San Luis Obispo,California,US,35.38822029,-120.4039028,21463,255,2021-04-23,04:20:52
San Mateo,California,US,37.4228808,-122.32755459999998,41790,355,2021-04-23,04:20:52
Santa Barbara,California,US,34.65329488,-120.0188492,34973,446,2021-04-23,04:20:52
Santa Clara,California,US,37.23104908,-121.6970462,118161,1954,2021-04-23,04:20:52
Santa Cruz,California,US,37.05580291,-122.0066524,16526,205,2021-04-23,04:20:52
Shasta,California,US,40.76391419,-122.0396884,13161,192,2021-04-23,04:20:52
Sierra,California,US,39.57713498,-120.52007009999998,63,0,2021-04-23,04:20:52
Siskiyou,California,US,41.59198861,-122.5407434,1848,11,2021-04-23,04:20:52
Solano,California,US,38.26827353,-121.9357113,32179,247,2021-04-23,04:20:52
Sonoma,California,US,38.52746429,-122.8862506,30005,318,2021-04-23,04:20:52
Stanislaus,California,US,37.55862499,-120.9970722,60102,959,2021-04-23,04:20:52
Sutter,California,US,39.03417539,-121.6945899,9382,110,2021-04-23,04:20:52
Tehama,California,US,40.12570935,-122.2370171,5429,53,2021-04-23,04:20:52
Trinity,California,US,40.64917670000001,-123.114713,408,3,2021-04-23,04:20:52
Tulare,California,US,36.22026558,-118.8020203,57284,828,2021-04-23,04:20:52
Tuolumne,California,US,38.02644018,-119.9525093,4060,58,2021-04-23,04:20:52
Unassigned,California,US,,,68,0,2021-04-23,04:20:52
Ventura,California,US,34.44465746,-119.0910613,82975,996,2021-04-23,04:20:52
Yolo,California,US,38.68278902,-121.9018288,13803,205,2021-04-23,04:20:52
Yuba,California,US,39.26255932,-121.3535644,5944,44,2021-04-23,04:20:52
Alameda,California,US,37.64629437,-121.8929271,87775,1256,2021-04-24,04:20:38
Alpine,California,US,38.59678594,-119.8223594,88,0,2021-04-24,04:20:38
Amador,California,US,38.44583082,-120.65696,3669,46,2021-04-24,04:20:38
Butte,California,US,39.66727762,-121.6005252,13388,196,2021-04-24,04:20:38
Calaveras,California,US,38.20537103,-120.552913,2075,50,2021-04-24,04:20:38
Colusa,California,US,39.17881957,-122.2331726,2210,14,2021-04-24,04:20:38
Contra Costa,California,US,37.91923498,-121.9289527,68352,785,2021-04-24,04:20:38
Del Norte,California,US,41.74228275,-123.8974063,1265,6,2021-04-24,04:20:38
El Dorado,California,US,38.77965956,-120.5233166,10486,106,2021-04-24,04:20:38
Fresno,California,US,36.75733899,-119.6466953,109325,1662,2021-04-24,04:20:38
Glenn,California,US,39.59875897,-122.3938452,2895,17,2021-04-24,04:20:38
