Admin2,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
Bernalillo,New Mexico,US,35.05163625,-106.6703554,53932,892,2021-03-20,05:25:46
Catron,New Mexico,US,33.91514144,-108.4046587,82,5,2021-03-20,05:25:46
Chaves,New Mexico,US,33.36406072,-104.4665365,8704,163,2021-03-20,05:25:46
Cibola,New Mexico,US,34.91131525,-107.998876,2805,106,2021-03-20,05:25:46
Colfax,New Mexico,US,36.60569702,-104.64726740000002,716,46,2021-03-20,05:25:46
Curry,New Mexico,US,34.57421077,-103.3468876,4988,70,2021-03-20,05:25:46
De Baca,New Mexico,US,34.34274529,-104.4117842,133,1,2021-03-20,05:25:46
Dona Ana,New Mexico,US,32.35275771,-106.8329387,23476,409,2021-03-20,05:25:46
Eddy,New Mexico,US,32.47167456,-104.3053527,6605,120,2021-03-20,05:25:46
Grant,New Mexico,US,32.73911281,-108.3827845,1588,35,2021-03-20,05:25:46
Guadalupe,New Mexico,US,34.86319296,-104.790669,365,9,2021-03-20,05:25:46
Harding,New Mexico,US,35.85751555,-103.8220938,8,0,2021-03-20,05:25:46
Hidalgo,New Mexico,US,31.91383467,-108.7151824,351,9,2021-03-20,05:25:46
Lea,New Mexico,US,32.79215361,-103.4123733,8135,156,2021-03-20,05:25:46
Lincoln,New Mexico,US,33.74526079,-105.4586166,1575,17,2021-03-20,05:25:46
Los Alamos,New Mexico,US,35.86631386,-106.3134985,493,6,2021-03-20,05:25:46
Luna,New Mexico,US,32.18179341,-107.75088259999998,3177,84,2021-03-20,05:25:46
McKinley,New Mexico,US,35.58007720000001,-108.262245,12101,454,2021-03-20,05:25:46
Mora,New Mexico,US,36.01095101,-104.9497716,168,6,2021-03-20,05:25:46
Otero,New Mexico,US,32.61348406,-105.7417604,3536,70,2021-03-20,05:25:46
Quay,New Mexico,US,35.10403332,-103.5481727,425,8,2021-03-20,05:25:46
Rio Arriba,New Mexico,US,36.51072137,-106.6931674,3447,70,2021-03-20,05:25:46
Roosevelt,New Mexico,US,34.02097406,-103.4799493,1853,52,2021-03-20,05:25:46
San Juan,New Mexico,US,36.50838318,-108.320437,13632,453,2021-03-20,05:25:46
San Miguel,New Mexico,US,35.48014807,-104.8163562,1303,13,2021-03-20,05:25:46
Sandoval,New Mexico,US,35.68862401,-106.8687803,11151,214,2021-03-20,05:25:46
Santa Fe,New Mexico,US,35.50708973,-105.9774716,9762,142,2021-03-20,05:25:46
Sierra,New Mexico,US,33.13028233,-107.1925893,707,45,2021-03-20,05:25:46
Socorro,New Mexico,US,34.00715494,-106.9298354,1233,56,2021-03-20,05:25:46
