Admin2,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
Alamance,North Carolina,US,36.0434701,-79.39976137,6826,96,2020-11-27,05:26:53
Alexander,North Carolina,US,35.922379600000006,-81.17751948,1537,15,2020-11-27,05:26:53
Alleghany,North Carolina,US,36.49360862,-81.12857041,378,1,2020-11-27,05:26:53
Anson,North Carolina,US,34.97403241,-80.09953279,887,14,2020-11-27,05:26:53
Ashe,North Carolina,US,36.43296207,-81.49862729,742,3,2020-11-27,05:26:53
Avery,North Carolina,US,36.07569796,-81.92308483,877,7,2020-11-27,05:26:53
Beaufort,North Carolina,US,35.48531943,-76.84325809,1648,53,2020-11-27,05:26:53
Bertie,North Carolina,US,36.0688473,-76.96545943,869,24,2020-11-27,05:26:53
Bladen,North Carolina,US,34.61296243,-78.56180059,1289,19,2020-11-27,05:26:53
Brunswick,North Carolina,US,34.070565,-78.22814204,2851,55,2020-11-27,05:26:53
Buncombe,North Carolina,US,35.61113393,-82.53305,5375,126,2020-11-27,05:26:53
Burke,North Carolina,US,35.74989637,-81.70755735,3699,63,2020-11-27,05:26:53
Cabarrus,North Carolina,US,35.3877799,-80.55267168,6617,106,2020-11-27,05:26:53
Caldwell,North Carolina,US,35.95204977,-81.54799522,3391,21,2020-11-27,05:26:53
Camden,North Carolina,US,36.33804939,-76.15568396,171,3,2020-11-27,05:26:53
Carteret,North Carolina,US,34.8932941,-76.54120135,1644,14,2020-11-27,05:26:53
Caswell,North Carolina,US,36.39312665,-79.33353281,811,6,2020-11-27,05:26:53
Catawba,North Carolina,US,35.66211129,-81.2132617,6511,85,2020-11-27,05:26:53
Chatham,North Carolina,US,35.70394416,-79.25541492,2315,65,2020-11-27,05:26:53
Cherokee,North Carolina,US,35.1349263,-84.05970864,909,15,2020-11-27,05:26:53
Chowan,North Carolina,US,36.12908077,-76.60118385,590,18,2020-11-27,05:26:53
Clay,North Carolina,US,35.05704275,-83.74353633,276,5,2020-11-27,05:26:53
Cleveland,North Carolina,US,35.33553364,-81.55204486,4129,105,2020-11-27,05:26:53
Columbus,North Carolina,US,34.26744084,-78.65801424,2557,71,2020-11-27,05:26:53
Craven,North Carolina,US,35.11833364,-77.08398081,3032,68,2020-11-27,05:26:53
Cumberland,North Carolina,US,35.04762133,-78.82623165,9118,112,2020-11-27,05:26:53
Currituck,North Carolina,US,36.36123664,-75.95876401,313,5,2020-11-27,05:26:53
Dare,North Carolina,US,35.66520691,-75.71767334,607,4,2020-11-27,05:26:53
Davidson,North Carolina,US,35.79115496,-80.21256572,5058,51,2020-11-27,05:26:53
Davie,North Carolina,US,35.93099927,-80.54496571,1168,13,2020-11-27,05:26:53
Duplin,North Carolina,US,34.93449805,-77.93140529,3275,56,2020-11-27,05:26:53
Durham,North Carolina,US,36.03638492,-78.87608331,10937,112,2020-11-27,05:26:53
Edgecombe,North Carolina,US,35.91230639,-77.59436892,2453,70,2020-11-27,05:26:53
Forsyth,North Carolina,US,36.12859861,-80.25459052,12588,163,2020-11-27,05:26:53
Franklin,North Carolina,US,36.081519,-78.28708884,1907,33,2020-11-27,05:26:53
Gaston,North Carolina,US,35.29373559,-81.17477045,9794,179,2020-11-27,05:26:53
Gates,North Carolina,US,36.44667547,-76.69749701,202,6,2020-11-27,05:26:53
Graham,North Carolina,US,35.3506925,-83.83369267,268,11,2020-11-27,05:26:53
Granville,North Carolina,US,36.30337451,-78.65184241,2464,56,2020-11-27,05:26:53
Greene,North Carolina,US,35.48544173,-77.67578087,1159,23,2020-11-27,05:26:53
Guilford,North Carolina,US,36.07959451,-79.78824948,15941,233,2020-11-27,05:26:53
Halifax,North Carolina,US,36.25669272,-77.6556109,1913,35,2020-11-27,05:26:53
Harnett,North Carolina,US,35.36731853,-78.87243571,3802,77,2020-11-27,05:26:53
Haywood,North Carolina,US,35.55269063,-82.98196486,1087,40,2020-11-27,05:26:53
Henderson,North Carolina,US,35.33788927,-82.4766782,3054,71,2020-11-27,05:26:53
Hertford,North Carolina,US,36.3607755,-76.98104134,961,39,2020-11-27,05:26:53
Hoke,North Carolina,US,35.01888303,-79.23651674,1910,30,2020-11-27,05:26:53
Hyde,North Carolina,US,35.42017674,-76.15180542,181,5,2020-11-27,05:26:53
Iredell,North Carolina,US,35.80950511,-80.8743128,5248,47,2020-11-27,05:26:53
Jackson,North Carolina,US,35.28814273,-83.14093385,1349,8,2020-11-27,05:26:53
Johnston,North Carolina,US,35.51745004,-78.36622717,7353,71,2020-11-27,05:26:53
Jones,North Carolina,US,35.02254606,-77.35870791,264,15,2020-11-27,05:26:53
Lee,North Carolina,US,35.47623147,-79.17569362,2418,30,2020-11-27,05:26:53
Lenoir,North Carolina,US,35.24032589999999,-77.64245615,2030,51,2020-11-27,05:26:53
Lincoln,North Carolina,US,35.48508185,-81.21740317,3306,20,2020-11-27,05:26:53
Macon,North Carolina,US,35.14867843,-83.41696617,914,9,2020-11-27,05:26:53
Madison,North Carolina,US,35.85402722,-82.71346418,493,17,2020-11-27,05:26:53
Martin,North Carolina,US,35.84326734,-77.10860251,803,21,2020-11-27,05:26:53
McDowell,North Carolina,US,35.67736232,-82.0482425,1774,34,2020-11-27,05:26:53
Mecklenburg,North Carolina,US,35.24469268,-80.8317671,41762,437,2020-11-27,05:26:53
Mitchell,North Carolina,US,36.01059309,-82.1582442,491,6,2020-11-27,05:26:53
Montgomery,North Carolina,US,35.33155144,-79.90416657,1367,41,2020-11-27,05:26:53
Moore,North Carolina,US,35.30885257,-79.48474178,2806,65,2020-11-27,05:26:53
Nash,North Carolina,US,35.96575634,-77.98422508,4294,108,2020-11-27,05:26:53
New Hanover,North Carolina,US,34.25758282,-77.87075626,6723,53,2020-11-27,05:26:53
Northampton,North Carolina,US,36.41736238,-77.39769443,798,25,2020-11-27,05:26:53
