Admin2,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
Adams,North Dakota,US,46.09686891,-102.5285397,270,3,2021-05-30,04:20:55
Barnes,North Dakota,US,46.93579637,-98.06605978,1409,31,2021-05-30,04:20:55
Benson,North Dakota,US,48.0683985,-99.35916363,1097,19,2021-05-30,04:20:55
Billings,North Dakota,US,47.02366884,-103.3762965,54,0,2021-05-30,04:20:55
Bottineau,North Dakota,US,48.79106111,-100.8378166,722,20,2021-05-30,04:20:55
Bowman,North Dakota,US,46.11285362,-103.5203343,404,5,2021-05-30,04:20:55
Burke,North Dakota,US,48.79094471,-102.5182117,245,2,2021-05-30,04:20:55
Burleigh,North Dakota,US,46.97847375,-100.4645214,15863,192,2021-05-30,04:20:55
Cass,North Dakota,US,46.93201724,-97.2444719,24626,209,2021-05-30,04:20:55
Cavalier,North Dakota,US,48.77286211,-98.46685243,431,5,2021-05-30,04:20:55
Dickey,North Dakota,US,46.11017712,-98.5049008,796,33,2021-05-30,04:20:55
Divide,North Dakota,US,48.814938700000006,-103.4873611,187,2,2021-05-30,04:20:55
Dunn,North Dakota,US,47.35423935,-102.6160468,390,7,2021-05-30,04:20:55
Eddy,North Dakota,US,47.71701474,-98.90432337,465,6,2021-05-30,04:20:55
Emmons,North Dakota,US,46.28398398,-100.2389766,431,13,2021-05-30,04:20:55
Foster,North Dakota,US,47.4571084,-98.88279923,599,19,2021-05-30,04:20:55
Golden Valley,North Dakota,US,46.94022281,-103.8465421,260,3,2021-05-30,04:20:55
Grand Forks,North Dakota,US,47.92093639,-97.45450447,10658,77,2021-05-30,04:20:55
Grant,North Dakota,US,46.35821257,-101.6390013,210,7,2021-05-30,04:20:55
Griggs,North Dakota,US,47.45785838,-98.23850925,326,2,2021-05-30,04:20:55
Hettinger,North Dakota,US,46.43375068,-102.4632417,331,4,2021-05-30,04:20:55
Kidder,North Dakota,US,46.97830064,-99.77507857,273,10,2021-05-30,04:20:55
LaMoure,North Dakota,US,46.45681054,-98.53542355,537,17,2021-05-30,04:20:55
Logan,North Dakota,US,46.45729487,-99.47719806,265,10,2021-05-30,04:20:55
McHenry,North Dakota,US,48.23104458,-100.6324822,648,23,2021-05-30,04:20:55
McIntosh,North Dakota,US,46.11182017,-99.44145858,345,7,2021-05-30,04:20:55
McKenzie,North Dakota,US,47.74133370000001,-103.395905,1395,13,2021-05-30,04:20:55
McLean,North Dakota,US,47.60766714,-101.3182418,1281,30,2021-05-30,04:20:55
Mercer,North Dakota,US,47.31213126,-101.8318399,1143,10,2021-05-30,04:20:55
Morton,North Dakota,US,46.71681782,-101.2822377,5292,101,2021-05-30,04:20:55
Mountrail,North Dakota,US,48.20197971,-102.3555315,1364,17,2021-05-30,04:20:55
Nelson,North Dakota,US,47.9226426,-98.19038437,477,15,2021-05-30,04:20:55
Oliver,North Dakota,US,47.11530482,-101.3406158,158,3,2021-05-30,04:20:55
Pembina,North Dakota,US,48.76623521,-97.5523809,819,11,2021-05-30,04:20:55
Pierce,North Dakota,US,48.24977025,-99.96407787,547,25,2021-05-30,04:20:55
Ramsey,North Dakota,US,48.26886249,-98.72223879,1718,30,2021-05-30,04:20:55
Ransom,North Dakota,US,46.45621782,-97.65742504,699,17,2021-05-30,04:20:55
