Admin2,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
Anderson,Tennessee,US,36.12684348,-84.19965764,7715,163,2021-02-19,05:24:16
Bedford,Tennessee,US,35.51123746,-86.45549096,5824,120,2021-02-19,05:24:16
Benton,Tennessee,US,36.07110411,-88.06849355,1483,39,2021-02-19,05:24:16
Bledsoe,Tennessee,US,35.59942968,-85.20611967,1991,11,2021-02-19,05:24:16
Blount,Tennessee,US,35.68938198,-83.92847788,13949,182,2021-02-19,05:24:16
Bradley,Tennessee,US,35.15739424,-84.857186,12475,140,2021-02-19,05:24:16
Campbell,Tennessee,US,36.40355516,-84.15108559999999,3712,60,2021-02-19,05:24:16
Cannon,Tennessee,US,35.80990797,-86.05738983,1719,28,2021-02-19,05:24:16
Carroll,Tennessee,US,35.97366108,-88.45189331,3456,86,2021-02-19,05:24:16
Carter,Tennessee,US,36.28969086,-82.12588974,5865,150,2021-02-19,05:24:16
Cheatham,Tennessee,US,36.26136216,-87.08903581,3842,43,2021-02-19,05:24:16
Chester,Tennessee,US,35.42527478,-88.6095842,2010,49,2021-02-19,05:24:16
Claiborne,Tennessee,US,36.48319149,-83.65947309,2666,72,2021-02-19,05:24:16
Clay,Tennessee,US,36.55151008,-85.53930419,1069,29,2021-02-19,05:24:16
Cocke,Tennessee,US,35.9278914,-83.11828725,3903,93,2021-02-19,05:24:16
Coffee,Tennessee,US,35.49090731,-86.07311784,6195,115,2021-02-19,05:24:16
Crockett,Tennessee,US,35.81830662,-89.14916269,1958,51,2021-02-19,05:24:16
Cumberland,Tennessee,US,35.95271721,-84.99840585,6039,124,2021-02-19,05:24:16
Davidson,Tennessee,US,36.17007426,-86.78646056,79099,870,2021-02-19,05:24:16
DeKalb,Tennessee,US,35.97616272,-85.83689361,2623,50,2021-02-19,05:24:16
Decatur,Tennessee,US,35.60048904,-88.11043779,1539,39,2021-02-19,05:24:16
Dickson,Tennessee,US,36.14669837,-87.35891709,6134,107,2021-02-19,05:24:16
Dyer,Tennessee,US,36.05931946,-89.41542855,5225,100,2021-02-19,05:24:16
Fayette,Tennessee,US,35.19615831,-89.41399032,4574,77,2021-02-19,05:24:16
Fentress,Tennessee,US,36.38128818,-84.92870012,2342,46,2021-02-19,05:24:16
Franklin,Tennessee,US,35.15634626,-86.09201039,4645,86,2021-02-19,05:24:16
Gibson,Tennessee,US,35.99438059,-88.93358327,6118,142,2021-02-19,05:24:16
Giles,Tennessee,US,35.20222469,-87.03992678,3663,98,2021-02-19,05:24:16
Grainger,Tennessee,US,36.27469206,-83.51254721,2388,48,2021-02-19,05:24:16
Greene,Tennessee,US,36.17470125,-82.84691273,7163,145,2021-02-19,05:24:16
Grundy,Tennessee,US,35.38433717,-85.72142731,1645,31,2021-02-19,05:24:16
Hamblen,Tennessee,US,36.21990035,-83.26586179,7836,163,2021-02-19,05:24:16
Hamilton,Tennessee,US,35.17670231,-85.16652245,39419,463,2021-02-19,05:24:16
Hancock,Tennessee,US,36.52692871,-83.22375847,503,13,2021-02-19,05:24:16
Hardeman,Tennessee,US,35.20772017,-88.99161161,3328,62,2021-02-19,05:24:16
Hardin,Tennessee,US,35.19732531,-88.18593755,3261,66,2021-02-19,05:24:16
Hawkins,Tennessee,US,36.44355426,-82.94885298,5069,93,2021-02-19,05:24:16
Haywood,Tennessee,US,35.58332824,-89.28536625,2617,61,2021-02-19,05:24:16
Henderson,Tennessee,US,35.65581134,-88.38600175,3594,74,2021-02-19,05:24:16
Henry,Tennessee,US,36.33160906,-88.30121797,3060,74,2021-02-19,05:24:16
Hickman,Tennessee,US,35.80609681,-87.47643507,2612,43,2021-02-19,05:24:16
Houston,Tennessee,US,36.28872054,-87.71878828,1019,31,2021-02-19,05:24:16
Humphreys,Tennessee,US,36.03958805,-87.77992872,1528,23,2021-02-19,05:24:16
Jackson,Tennessee,US,36.36380466,-85.67239905,1267,35,2021-02-19,05:24:16
Jefferson,Tennessee,US,36.04818632,-83.45148924,5500,121,2021-02-19,05:24:16
Johnson,Tennessee,US,36.45523950000001,-81.84886538,2123,39,2021-02-19,05:24:16
Knox,Tennessee,US,35.99508821,-83.94635435,45404,573,2021-02-19,05:24:16
Lake,Tennessee,US,36.34180170000001,-89.48921915,1669,29,2021-02-19,05:24:16
Lauderdale,Tennessee,US,35.75893438,-89.63015909999999,3078,40,2021-02-19,05:24:16
Lawrence,Tennessee,US,35.21675201,-87.39787695,5532,82,2021-02-19,05:24:16
Lewis,Tennessee,US,35.52853208,-87.49022694,1461,24,2021-02-19,05:24:16
Lincoln,Tennessee,US,35.13738622,-86.58910106,4061,63,2021-02-19,05:24:16
Loudon,Tennessee,US,35.73939663,-84.31145275,5545,67,2021-02-19,05:24:16
Macon,Tennessee,US,36.53157855,-86.00778595,3323,73,2021-02-19,05:24:16
Madison,Tennessee,US,35.61181957,-88.84076036,9999,234,2021-02-19,05:24:16
Marion,Tennessee,US,35.12997174,-85.62265895,2901,48,2021-02-19,05:24:16
Marshall,Tennessee,US,35.45798777,-86.76420988,3914,57,2021-02-19,05:24:16
Maury,Tennessee,US,35.6187413,-87.07462444,12102,167,2021-02-19,05:24:16
McMinn,Tennessee,US,35.42812616,-84.61520715,5813,92,2021-02-19,05:24:16
McNairy,Tennessee,US,35.17468549,-88.5647812,2606,55,2021-02-19,05:24:16
Meigs,Tennessee,US,35.51558739,-84.81482914,1250,22,2021-02-19,05:24:16
Monroe,Tennessee,US,35.44550387,-84.24902965,5192,90,2021-02-19,05:24:16
Montgomery,Tennessee,US,36.49609412,-87.38550661,17095,221,2021-02-19,05:24:16
Moore,Tennessee,US,35.27724699,-86.36230578,935,15,2021-02-19,05:24:16
Morgan,Tennessee,US,36.13248031,-84.64880098,2285,36,2021-02-19,05:24:16
Obion,Tennessee,US,36.35732446,-89.14921589,4340,97,2021-02-19,05:24:16
Out of TN,Tennessee,US,,,15680,97,2021-02-19,05:24:16
Overton,Tennessee,US,36.34117832,-85.28989535,2870,58,2021-02-19,05:24:16
Perry,Tennessee,US,35.63708728,-87.86139634,1016,28,2021-02-19,05:24:16
Pickett,Tennessee,US,36.55606529,-85.07763299999998,746,23,2021-02-19,05:24:16
Polk,Tennessee,US,35.12245443,-84.52075859,1691,22,2021-02-19,05:24:16
Putnam,Tennessee,US,36.14005459,-85.50646123,10677,170,2021-02-19,05:24:16
Rhea,Tennessee,US,35.60536161,-84.93076643,4051,79,2021-02-19,05:24:16
Roane,Tennessee,US,35.84923189,-84.52458689,5738,96,2021-02-19,05:24:16
Robertson,Tennessee,US,36.52454807,-86.87346725,8843,127,2021-02-19,05:24:16
Rutherford,Tennessee,US,35.84591405,-86.4107263,37324,384,2021-02-19,05:24:16
Scott,Tennessee,US,36.42325673,-84.50360494,2850,47,2021-02-19,05:24:16
Sequatchie,Tennessee,US,35.36979721,-85.41022136,1504,26,2021-02-19,05:24:16
Sevier,Tennessee,US,35.78077323,-83.52244332,11714,161,2021-02-19,05:24:16
Shelby,Tennessee,US,35.1864775,-89.89692423,85278,1582,2021-02-19,05:24:16
Smith,Tennessee,US,36.25359775,-85.95411046,2509,36,2021-02-19,05:24:16
Stewart,Tennessee,US,36.50235092,-87.83920548,1220,25,2021-02-19,05:24:16
Sullivan,Tennessee,US,36.51240691,-82.30412917,13958,281,2021-02-19,05:24:16
Sumner,Tennessee,US,36.46824103,-86.45917204,20938,318,2021-02-19,05:24:16
Tipton,Tennessee,US,35.501942,-89.73694895,6751,106,2021-02-19,05:24:16
Trousdale,Tennessee,US,36.39026213,-86.16087954,2378,21,2021-02-19,05:24:16
Unassigned,Tennessee,US,,,10831,90,2021-02-19,05:24:16
Unicoi,Tennessee,US,36.10890856,-82.43709629,1771,49,2021-02-19,05:24:16
Union,Tennessee,US,36.28590426,-83.83651902,1657,30,2021-02-19,05:24:16
Van Buren,Tennessee,US,35.69864497,-85.45221699,798,22,2021-02-19,05:24:16
Warren,Tennessee,US,35.6728299,-85.77969117,5250,75,2021-02-19,05:24:16
Washington,Tennessee,US,36.29472368,-82.49454720000001,12446,231,2021-02-19,05:24:16
Wayne,Tennessee,US,35.23868267,-87.78644456,2863,32,2021-02-19,05:24:16
Weakley,Tennessee,US,36.29896232,-88.71990865,3763,65,2021-02-19,05:24:16
White,Tennessee,US,35.92929884,-85.45591799,3343,64,2021-02-19,05:24:16
