Admin2,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Virgin Islands,US,18.3358,-64.8963,,,2020-03-24,23:37:31
,Virgin Islands,US,18.3358,-64.8963,,,2020-03-25,23:33:19
,Virgin Islands,US,18.3358,-64.8963,,,2020-03-26,23:48:35
,Virgin Islands,US,18.3358,-64.8963,,,2020-03-27,22:14:55
,Virgin Islands,US,18.3358,-64.8963,,,3/28/20,23:05
,Virgin Islands,US,18.3358,-64.8963,,,3/29/20,23:08
,Virgin Islands,US,18.3358,-64.8963,,,3/30/20,22:52
,Virgin Islands,US,18.3358,-64.8963,,,2020-03-31,23:43:56
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-01,21:58:49
,Virgin Islands,US,18.3358,-64.8963,,,4/2/20,23:25
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-03,22:46:37
,Virgin Islands,US,18.3358,-64.8963,,,4/4/20,23:34
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-05,23:06:45
,Virgin Islands,US,18.3358,-64.8963,,,4/6/20,23:22
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-07,23:04:49
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-08,22:51:58
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-09,23:02:37
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-10,22:54:07
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-11,22:45:33
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-12,23:18:00
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-13,23:07:54
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-14,23:33:31
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-15,22:56:51
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-16,23:30:51
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-17,23:30:52
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-18,22:32:47
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-19,23:41:01
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-20,23:36:47
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-21,23:30:50
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-22,23:30:53
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-24,03:30:50
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-25,06:30:53
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-26,02:30:51
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-27,02:30:52
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-28,02:30:51
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-29,02:32:29
,Virgin Islands,US,18.3358,-64.8963,,,2020-04-30,02:32:27
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-01,02:32:28
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-02,02:32:27
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-03,02:32:28
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-04,02:32:28
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-05,02:32:34
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-06,02:32:31
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-07,02:32:28
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-08,02:32:32
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-09,02:32:35
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-10,02:32:30
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-11,02:32:30
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-12,03:32:27
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-13,03:32:26
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-14,03:32:28
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-15,02:33:02
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-16,02:32:19
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-17,02:32:32
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-18,02:32:21
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-19,02:32:18
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-20,02:32:19
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-21,02:32:48
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-22,02:36:51
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-23,02:32:42
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-24,02:32:43
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-25,02:32:44
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-26,02:32:35
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-27,02:32:31
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-28,02:32:31
,Virgin Islands,US,18.3358,-64.8963,,,2020-05-29,02:32:50
,Virgin Islands,US,18.3358,-64.8963,69.0,6.0,2020-05-30,02:32:48
,Virgin Islands,US,18.3358,-64.8963,69.0,6.0,2020-05-31,02:32:45
,Virgin Islands,US,18.3358,-64.8963,69.0,6.0,2020-06-01,02:32:46
,Virgin Islands,US,18.3358,-64.8963,70.0,6.0,2020-06-02,02:33:08
,Virgin Islands,US,18.3358,-64.8963,70.0,6.0,2020-06-03,02:33:13
,Virgin Islands,US,18.3358,-64.8963,70.0,6.0,2020-06-04,02:33:14
,Virgin Islands,US,18.3358,-64.8963,71.0,6.0,2020-06-05,02:33:06
,Virgin Islands,US,18.3358,-64.8963,71.0,6.0,2020-06-06,02:33:00
,Virgin Islands,US,18.3358,-64.8963,71.0,6.0,2020-06-07,03:53:30
,Virgin Islands,US,18.3358,-64.8963,71.0,6.0,2020-06-08,03:33:22
,Virgin Islands,US,18.3358,-64.8963,71.0,6.0,2020-06-09,03:33:03
,Virgin Islands,US,18.3358,-64.8963,71.0,6.0,2020-06-10,04:07:00
,Virgin Islands,US,18.3358,-64.8963,72.0,6.0,2020-06-11,03:33:41
,Virgin Islands,US,18.3358,-64.8963,72.0,6.0,2020-06-12,05:09:52
,Virgin Islands,US,18.3358,-64.8963,72.0,6.0,2020-06-13,03:33:14
,Virgin Islands,US,18.3358,-64.8963,72.0,6.0,2020-06-14,03:33:15
,Virgin Islands,US,18.3358,-64.8963,72.0,6.0,2020-06-15,03:33:14
,Virgin Islands,US,18.3358,-64.8963,72.0,6.0,2020-06-16,04:33:09
,Virgin Islands,US,18.3358,-64.8963,72.0,6.0,2020-06-17,04:33:21
