Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Uzbekistan,41.377491,64.585262,106025,718,2021-06-21,04:21:41
,Uzbekistan,41.377491,64.585262,106452,718,2021-06-22,04:21:34
,Uzbekistan,41.377491,64.585262,106847,720,2021-06-23,04:21:46
,Uzbekistan,41.377491,64.585262,107266,722,2021-06-24,04:21:55
,Uzbekistan,41.377491,64.585262,107708,723,2021-06-25,04:21:33
,Uzbekistan,41.377491,64.585262,108184,725,2021-06-26,04:21:43
,Uzbekistan,41.377491,64.585262,108730,727,2021-06-27,04:21:39
,Uzbekistan,41.377491,64.585262,109223,729,2021-06-28,04:21:29
,Uzbekistan,41.377491,64.585262,109692,731,2021-06-29,04:21:28
,Uzbekistan,41.377491,64.585262,110190,733,2021-06-30,04:21:41
,Uzbekistan,41.377491,64.585262,110677,736,2021-07-01,04:21:19
,Uzbekistan,41.377491,64.585262,111153,740,2021-07-02,04:21:47
,Uzbekistan,41.377491,64.585262,111648,742,2021-07-03,04:21:37
,Uzbekistan,41.377491,64.585262,112130,745,2021-07-04,04:21:38
,Uzbekistan,41.377491,64.585262,112597,747,2021-07-05,04:21:28
,Uzbekistan,41.377491,64.585262,113072,751,2021-07-06,04:21:32
,Uzbekistan,41.377491,64.585262,113568,754,2021-07-07,04:21:20
,Uzbekistan,41.377491,64.585262,114039,758,2021-07-08,04:21:26
,Uzbekistan,41.377491,64.585262,114529,760,2021-07-09,04:21:21
,Uzbekistan,41.377491,64.585262,115011,764,2021-07-10,04:21:25
,Uzbekistan,41.377491,64.585262,115478,767,2021-07-11,04:21:43
,Uzbekistan,41.377491,64.585262,115963,771,2021-07-12,04:21:34
,Uzbekistan,41.377491,64.585262,116421,774,2021-07-13,04:21:18
,Uzbekistan,41.377491,64.585262,116918,778,2021-07-14,04:21:35
,Uzbekistan,41.377491,64.585262,117409,781,2021-07-15,04:21:48
,Uzbekistan,41.377491,64.585262,117902,785,2021-07-16,04:21:22
,Uzbekistan,41.377491,64.585262,118380,789,2021-07-17,04:22:22
,Uzbekistan,41.377491,64.585262,118881,793,2021-07-18,04:22:07
,Uzbekistan,41.377491,64.585262,119388,796,2021-07-19,04:21:24
,Uzbekistan,41.377491,64.585262,119973,801,2021-07-20,04:21:48
,Uzbekistan,41.377491,64.585262,120631,805,2021-07-21,04:21:40
,Uzbekistan,41.377491,64.585262,121329,809,2021-07-22,04:21:19
,Uzbekistan,41.377491,64.585262,122048,814,2021-07-23,04:21:29
,Uzbekistan,41.377491,64.585262,122786,819,2021-07-24,00:21:36
,Uzbekistan,41.377491,64.585262,123559,826,2021-07-25,04:22:12
,Uzbekistan,41.377491,64.585262,124290,832,2021-07-26,04:21:28
,Uzbekistan,41.377491,64.585262,124995,839,2021-07-27,04:21:18
,Uzbekistan,41.377491,64.585262,125784,845,2021-07-28,04:21:39
,Uzbekistan,41.377491,64.585262,126627,853,2021-07-29,04:21:33
,Uzbekistan,41.377491,64.585262,127506,859,2021-07-30,04:21:34
