Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
,Zimbabwe,-19.015438,29.154857,39688,1629,2021-06-12,04:22:22
,Zimbabwe,-19.015438,29.154857,39852,1632,2021-06-13,04:22:44
,Zimbabwe,-19.015438,29.154857,39959,1632,2021-06-14,04:22:46
,Zimbabwe,-19.015438,29.154857,40077,1635,2021-06-15,04:22:22
,Zimbabwe,-19.015438,29.154857,40318,1637,2021-06-16,04:22:32
,Zimbabwe,-19.015438,29.154857,40556,1640,2021-06-17,04:22:36
,Zimbabwe,-19.015438,29.154857,40927,1647,2021-06-18,04:22:16
,Zimbabwe,-19.015438,29.154857,41335,1656,2021-06-19,04:22:33
,Zimbabwe,-19.015438,29.154857,41628,1666,2021-06-20,04:21:48
,Zimbabwe,-19.015438,29.154857,41779,1672,2021-06-21,04:21:41
,Zimbabwe,-19.015438,29.154857,42195,1685,2021-06-22,04:21:34
,Zimbabwe,-19.015438,29.154857,42714,1691,2021-06-23,04:21:46
,Zimbabwe,-19.015438,29.154857,43480,1692,2021-06-24,04:21:55
,Zimbabwe,-19.015438,29.154857,44306,1709,2021-06-25,04:21:33
,Zimbabwe,-19.015438,29.154857,45217,1721,2021-06-26,04:21:43
,Zimbabwe,-19.015438,29.154857,46018,1725,2021-06-27,04:21:39
,Zimbabwe,-19.015438,29.154857,46442,1736,2021-06-28,04:21:29
,Zimbabwe,-19.015438,29.154857,47284,1749,2021-06-29,04:21:28
,Zimbabwe,-19.015438,29.154857,48533,1761,2021-06-30,04:21:41
,Zimbabwe,-19.015438,29.154857,49864,1789,2021-07-01,04:21:19
,Zimbabwe,-19.015438,29.154857,51221,1808,2021-07-02,04:21:47
,Zimbabwe,-19.015438,29.154857,52663,1841,2021-07-03,04:21:37
,Zimbabwe,-19.015438,29.154857,53665,1859,2021-07-04,04:21:38
,Zimbabwe,-19.015438,29.154857,54474,1878,2021-07-05,04:21:28
,Zimbabwe,-19.015438,29.154857,56014,1911,2021-07-06,04:21:32
,Zimbabwe,-19.015438,29.154857,57963,1939,2021-07-07,04:21:20
,Zimbabwe,-19.015438,29.154857,60227,1973,2021-07-08,04:21:26
,Zimbabwe,-19.015438,29.154857,62383,2029,2021-07-09,04:21:21
,Zimbabwe,-19.015438,29.154857,65066,2084,2021-07-10,04:21:25
