iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
BHR,Asia,Bahrain,2020-01-05,,0.0,,0.0
BHR,Asia,Bahrain,2020-01-12,,0.0,,0.0
BHR,Asia,Bahrain,2020-01-19,,0.0,,0.0
BHR,Asia,Bahrain,2020-01-26,,0.0,,0.0
BHR,Asia,Bahrain,2020-02-02,,0.0,,0.0
BHR,Asia,Bahrain,2020-02-09,,0.0,,0.0
BHR,Asia,Bahrain,2020-02-16,,0.0,,0.0
BHR,Asia,Bahrain,2020-02-23,,0.0,,0.0
BHR,Asia,Bahrain,2020-03-01,41.0,41.0,,0.0
BHR,Asia,Bahrain,2020-03-05,,,,
BHR,Asia,Bahrain,2020-03-06,,,,
BHR,Asia,Bahrain,2020-03-07,,,,
BHR,Asia,Bahrain,2020-03-08,63.0,22.0,,0.0
BHR,Asia,Bahrain,2020-03-09,,,,
BHR,Asia,Bahrain,2020-03-10,,,,
BHR,Asia,Bahrain,2020-03-11,,,,
BHR,Asia,Bahrain,2020-03-12,,,,
BHR,Asia,Bahrain,2020-03-13,,,,
BHR,Asia,Bahrain,2020-03-14,,,,
BHR,Asia,Bahrain,2020-03-15,211.0,148.0,,0.0
BHR,Asia,Bahrain,2020-03-16,,,,
BHR,Asia,Bahrain,2020-03-17,,,,
BHR,Asia,Bahrain,2020-03-18,,,,
BHR,Asia,Bahrain,2020-03-19,,,,
BHR,Asia,Bahrain,2020-03-20,,,,
BHR,Asia,Bahrain,2020-03-21,,,,
BHR,Asia,Bahrain,2020-03-22,311.0,100.0,1.0,1.0
BHR,Asia,Bahrain,2020-03-23,,,,
BHR,Asia,Bahrain,2020-03-24,,,,
BHR,Asia,Bahrain,2020-03-25,,,,
BHR,Asia,Bahrain,2020-03-26,,,,
BHR,Asia,Bahrain,2020-03-27,,,,
BHR,Asia,Bahrain,2020-03-28,,,,
BHR,Asia,Bahrain,2020-03-29,476.0,165.0,4.0,3.0
BHR,Asia,Bahrain,2020-03-30,,,,
BHR,Asia,Bahrain,2020-03-31,,,,
BHR,Asia,Bahrain,2020-04-01,,,,
BHR,Asia,Bahrain,2020-04-02,,,,
BHR,Asia,Bahrain,2020-04-03,,,,
BHR,Asia,Bahrain,2020-04-04,,,,
BHR,Asia,Bahrain,2020-04-05,688.0,212.0,4.0,0.0
BHR,Asia,Bahrain,2020-04-06,,,,
BHR,Asia,Bahrain,2020-04-07,,,,
BHR,Asia,Bahrain,2020-04-08,,,,
BHR,Asia,Bahrain,2020-04-09,,,,
BHR,Asia,Bahrain,2020-04-10,,,,
BHR,Asia,Bahrain,2020-04-11,,,,
BHR,Asia,Bahrain,2020-04-12,1040.0,352.0,6.0,2.0
