iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
BGD,Asia,Bangladesh,2020-01-05,,0.0,,0.0
BGD,Asia,Bangladesh,2020-01-12,,0.0,,0.0
BGD,Asia,Bangladesh,2020-01-19,,0.0,,0.0
BGD,Asia,Bangladesh,2020-01-26,,0.0,,0.0
BGD,Asia,Bangladesh,2020-02-02,,0.0,,0.0
BGD,Asia,Bangladesh,2020-02-09,,0.0,,0.0
BGD,Asia,Bangladesh,2020-02-16,,0.0,,0.0
BGD,Asia,Bangladesh,2020-02-23,,0.0,,0.0
BGD,Asia,Bangladesh,2020-03-01,,0.0,,0.0
BGD,Asia,Bangladesh,2020-03-08,3.0,3.0,,0.0
BGD,Asia,Bangladesh,2020-03-15,7.0,4.0,,0.0
BGD,Asia,Bangladesh,2020-03-22,24.0,17.0,2.0,2.0
BGD,Asia,Bangladesh,2020-03-29,48.0,24.0,5.0,3.0
BGD,Asia,Bangladesh,2020-04-03,,,,
BGD,Asia,Bangladesh,2020-04-04,,,,
BGD,Asia,Bangladesh,2020-04-05,88.0,40.0,8.0,3.0
BGD,Asia,Bangladesh,2020-04-06,,,,
BGD,Asia,Bangladesh,2020-04-07,,,,
BGD,Asia,Bangladesh,2020-04-08,,,,
BGD,Asia,Bangladesh,2020-04-09,,,,
BGD,Asia,Bangladesh,2020-04-10,,,,
BGD,Asia,Bangladesh,2020-04-11,,,,
BGD,Asia,Bangladesh,2020-04-12,621.0,533.0,34.0,26.0
BGD,Asia,Bangladesh,2020-04-13,,,,
BGD,Asia,Bangladesh,2020-04-14,,,,
BGD,Asia,Bangladesh,2020-04-15,,,,
BGD,Asia,Bangladesh,2020-04-16,,,,
BGD,Asia,Bangladesh,2020-04-17,,,,
BGD,Asia,Bangladesh,2020-04-18,,,,
BGD,Asia,Bangladesh,2020-04-19,2456.0,1835.0,91.0,57.0
BGD,Asia,Bangladesh,2020-04-20,,,,
BGD,Asia,Bangladesh,2020-04-21,,,,
BGD,Asia,Bangladesh,2020-04-22,,,,
BGD,Asia,Bangladesh,2020-04-23,,,,
BGD,Asia,Bangladesh,2020-04-24,,,,
BGD,Asia,Bangladesh,2020-04-25,,,,
BGD,Asia,Bangladesh,2020-04-26,5416.0,2960.0,145.0,54.0
BGD,Asia,Bangladesh,2020-04-27,,,,
BGD,Asia,Bangladesh,2020-04-28,,,,
BGD,Asia,Bangladesh,2020-04-29,,,,
BGD,Asia,Bangladesh,2020-04-30,,,,
BGD,Asia,Bangladesh,2020-05-01,,,,
BGD,Asia,Bangladesh,2020-05-02,,,,
BGD,Asia,Bangladesh,2020-05-03,9455.0,4039.0,177.0,32.0
BGD,Asia,Bangladesh,2020-05-04,,,,
BGD,Asia,Bangladesh,2020-05-05,,,,
BGD,Asia,Bangladesh,2020-05-06,,,,
BGD,Asia,Bangladesh,2020-05-07,,,,
BGD,Asia,Bangladesh,2020-05-08,,,,
BGD,Asia,Bangladesh,2020-05-09,,,,
BGD,Asia,Bangladesh,2020-05-10,14657.0,5202.0,228.0,51.0
BGD,Asia,Bangladesh,2020-05-11,,,,
BGD,Asia,Bangladesh,2020-05-12,,,,
BGD,Asia,Bangladesh,2020-05-13,,,,
BGD,Asia,Bangladesh,2020-05-14,,,,
BGD,Asia,Bangladesh,2020-05-15,,,,
BGD,Asia,Bangladesh,2020-05-16,,,,
BGD,Asia,Bangladesh,2020-05-17,22268.0,7611.0,328.0,100.0
BGD,Asia,Bangladesh,2020-05-18,,,,
BGD,Asia,Bangladesh,2020-05-19,,,,
BGD,Asia,Bangladesh,2020-05-20,,,,
BGD,Asia,Bangladesh,2020-05-21,,,,
BGD,Asia,Bangladesh,2020-05-22,,,,
BGD,Asia,Bangladesh,2020-05-23,,,,
BGD,Asia,Bangladesh,2020-05-24,33610.0,11342.0,480.0,152.0
BGD,Asia,Bangladesh,2020-05-25,,,,
BGD,Asia,Bangladesh,2020-05-26,,,,
BGD,Asia,Bangladesh,2020-05-27,,,,
BGD,Asia,Bangladesh,2020-05-28,,,,
BGD,Asia,Bangladesh,2020-05-29,,,,
BGD,Asia,Bangladesh,2020-05-30,,,,
BGD,Asia,Bangladesh,2020-05-31,47153.0,13543.0,650.0,170.0
BGD,Asia,Bangladesh,2020-06-01,,,,
BGD,Asia,Bangladesh,2020-06-02,,,,
BGD,Asia,Bangladesh,2020-06-03,,,,
BGD,Asia,Bangladesh,2020-06-04,,,,
BGD,Asia,Bangladesh,2020-06-05,,,,
BGD,Asia,Bangladesh,2020-06-06,,,,
BGD,Asia,Bangladesh,2020-06-07,65769.0,18616.0,888.0,238.0
BGD,Asia,Bangladesh,2020-06-08,,,,
BGD,Asia,Bangladesh,2020-06-09,,,,
BGD,Asia,Bangladesh,2020-06-10,,,,
BGD,Asia,Bangladesh,2020-06-11,,,,
BGD,Asia,Bangladesh,2020-06-12,,,,
BGD,Asia,Bangladesh,2020-06-13,,,,
BGD,Asia,Bangladesh,2020-06-14,87520.0,21751.0,1171.0,283.0
BGD,Asia,Bangladesh,2020-06-15,,,,
BGD,Asia,Bangladesh,2020-06-16,,,,
BGD,Asia,Bangladesh,2020-06-17,,,,
BGD,Asia,Bangladesh,2020-06-18,,,,
BGD,Asia,Bangladesh,2020-06-19,,,,
BGD,Asia,Bangladesh,2020-06-20,,,,
BGD,Asia,Bangladesh,2020-06-21,112306.0,24786.0,1464.0,293.0
BGD,Asia,Bangladesh,2020-06-22,,,,
BGD,Asia,Bangladesh,2020-06-23,,,,
BGD,Asia,Bangladesh,2020-06-24,,,,
BGD,Asia,Bangladesh,2020-06-25,,,,
BGD,Asia,Bangladesh,2020-06-26,,,,
BGD,Asia,Bangladesh,2020-06-27,,,,
BGD,Asia,Bangladesh,2020-06-28,137787.0,25481.0,1738.0,274.0
BGD,Asia,Bangladesh,2020-06-29,,,,
BGD,Asia,Bangladesh,2020-06-30,,,,
BGD,Asia,Bangladesh,2020-07-01,,,,
BGD,Asia,Bangladesh,2020-07-02,,,,
BGD,Asia,Bangladesh,2020-07-03,,,,
BGD,Asia,Bangladesh,2020-07-04,,,,
BGD,Asia,Bangladesh,2020-07-05,162417.0,24630.0,2052.0,314.0
BGD,Asia,Bangladesh,2020-07-06,,,,
BGD,Asia,Bangladesh,2020-07-07,,,,
BGD,Asia,Bangladesh,2020-07-08,,,,
BGD,Asia,Bangladesh,2020-07-09,,,,
BGD,Asia,Bangladesh,2020-07-10,,,,
BGD,Asia,Bangladesh,2020-07-11,,,,
BGD,Asia,Bangladesh,2020-07-12,183795.0,21378.0,2352.0,300.0
BGD,Asia,Bangladesh,2020-07-13,,,,
BGD,Asia,Bangladesh,2020-07-14,,,,
BGD,Asia,Bangladesh,2020-07-15,,,,
BGD,Asia,Bangladesh,2020-07-16,,,,
BGD,Asia,Bangladesh,2020-07-17,,,,
BGD,Asia,Bangladesh,2020-07-18,,,,
BGD,Asia,Bangladesh,2020-07-19,204525.0,20730.0,2618.0,266.0
BGD,Asia,Bangladesh,2020-07-20,,,,
BGD,Asia,Bangladesh,2020-07-21,,,,
BGD,Asia,Bangladesh,2020-07-22,,,,
BGD,Asia,Bangladesh,2020-07-23,,,,
BGD,Asia,Bangladesh,2020-07-24,,,,
BGD,Asia,Bangladesh,2020-07-25,,,,
BGD,Asia,Bangladesh,2020-07-26,223453.0,18928.0,2928.0,310.0
BGD,Asia,Bangladesh,2020-07-27,,,,
BGD,Asia,Bangladesh,2020-07-28,,,,
BGD,Asia,Bangladesh,2020-07-29,,,,
BGD,Asia,Bangladesh,2020-07-30,,,,
BGD,Asia,Bangladesh,2020-07-31,,,,
BGD,Asia,Bangladesh,2020-08-01,,,,
BGD,Asia,Bangladesh,2020-08-02,240746.0,17293.0,3154.0,226.0
BGD,Asia,Bangladesh,2020-08-03,,,,
BGD,Asia,Bangladesh,2020-08-04,,,,
BGD,Asia,Bangladesh,2020-08-05,,,,
BGD,Asia,Bangladesh,2020-08-06,,,,
BGD,Asia,Bangladesh,2020-08-07,,,,
BGD,Asia,Bangladesh,2020-08-08,,,,
BGD,Asia,Bangladesh,2020-08-09,257600.0,16854.0,3399.0,245.0
BGD,Asia,Bangladesh,2020-08-10,,,,
BGD,Asia,Bangladesh,2020-08-11,,,,
BGD,Asia,Bangladesh,2020-08-12,,,,
BGD,Asia,Bangladesh,2020-08-13,,,,
BGD,Asia,Bangladesh,2020-08-14,,,,
BGD,Asia,Bangladesh,2020-08-15,,,,
BGD,Asia,Bangladesh,2020-08-16,276549.0,18949.0,3657.0,258.0
BGD,Asia,Bangladesh,2020-08-17,,,,
BGD,Asia,Bangladesh,2020-08-18,,,,
BGD,Asia,Bangladesh,2020-08-19,,,,
BGD,Asia,Bangladesh,2020-08-20,,,,
BGD,Asia,Bangladesh,2020-08-21,,,,
BGD,Asia,Bangladesh,2020-08-22,,,,
BGD,Asia,Bangladesh,2020-08-23,294598.0,18049.0,3941.0,284.0
BGD,Asia,Bangladesh,2020-08-24,,,,
BGD,Asia,Bangladesh,2020-08-25,,,,
BGD,Asia,Bangladesh,2020-08-26,,,,
BGD,Asia,Bangladesh,2020-08-27,,,,
BGD,Asia,Bangladesh,2020-08-28,,,,
BGD,Asia,Bangladesh,2020-08-29,,,,
BGD,Asia,Bangladesh,2020-08-30,310822.0,16224.0,4248.0,307.0
BGD,Asia,Bangladesh,2020-08-31,,,,
BGD,Asia,Bangladesh,2020-09-01,,,,
BGD,Asia,Bangladesh,2020-09-02,,,,
BGD,Asia,Bangladesh,2020-09-03,,,,
BGD,Asia,Bangladesh,2020-09-04,,,,
BGD,Asia,Bangladesh,2020-09-05,,,,
BGD,Asia,Bangladesh,2020-09-06,325157.0,14335.0,4479.0,231.0
BGD,Asia,Bangladesh,2020-09-07,,,,
BGD,Asia,Bangladesh,2020-09-08,,,,
BGD,Asia,Bangladesh,2020-09-09,,,,
BGD,Asia,Bangladesh,2020-09-10,,,,
BGD,Asia,Bangladesh,2020-09-11,,,,
BGD,Asia,Bangladesh,2020-09-12,,,,
BGD,Asia,Bangladesh,2020-09-13,337520.0,12363.0,4733.0,254.0
BGD,Asia,Bangladesh,2020-09-14,,,,
BGD,Asia,Bangladesh,2020-09-15,,,,
BGD,Asia,Bangladesh,2020-09-16,,,,
BGD,Asia,Bangladesh,2020-09-17,,,,
BGD,Asia,Bangladesh,2020-09-18,,,,
BGD,Asia,Bangladesh,2020-09-19,,,,
BGD,Asia,Bangladesh,2020-09-20,348916.0,11396.0,4939.0,206.0
BGD,Asia,Bangladesh,2020-09-21,,,,
BGD,Asia,Bangladesh,2020-09-22,,,,
BGD,Asia,Bangladesh,2020-09-23,,,,
BGD,Asia,Bangladesh,2020-09-24,,,,
BGD,Asia,Bangladesh,2020-09-25,,,,
BGD,Asia,Bangladesh,2020-09-26,,,,
BGD,Asia,Bangladesh,2020-09-27,359148.0,10232.0,5161.0,222.0
BGD,Asia,Bangladesh,2020-09-28,,,,
BGD,Asia,Bangladesh,2020-09-29,,,,
BGD,Asia,Bangladesh,2020-09-30,,,,
BGD,Asia,Bangladesh,2020-10-01,,,,
BGD,Asia,Bangladesh,2020-10-02,,,,
BGD,Asia,Bangladesh,2020-10-03,,,,
BGD,Asia,Bangladesh,2020-10-04,368690.0,9542.0,5348.0,187.0
BGD,Asia,Bangladesh,2020-10-05,,,,
BGD,Asia,Bangladesh,2020-10-06,,,,
BGD,Asia,Bangladesh,2020-10-07,,,,
BGD,Asia,Bangladesh,2020-10-08,,,,
BGD,Asia,Bangladesh,2020-10-09,,,,
BGD,Asia,Bangladesh,2020-10-10,,,,
BGD,Asia,Bangladesh,2020-10-11,378266.0,9576.0,5524.0,176.0
BGD,Asia,Bangladesh,2020-10-12,,,,
BGD,Asia,Bangladesh,2020-10-13,,,,
BGD,Asia,Bangladesh,2020-10-14,,,,
BGD,Asia,Bangladesh,2020-10-15,,,,
BGD,Asia,Bangladesh,2020-10-16,,,,
BGD,Asia,Bangladesh,2020-10-17,,,,
