iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
BTN,Asia,Bhutan,2020-01-05,,0.0,,0.0
BTN,Asia,Bhutan,2020-01-12,,0.0,,0.0
BTN,Asia,Bhutan,2020-01-19,,0.0,,0.0
BTN,Asia,Bhutan,2020-01-26,,0.0,,0.0
BTN,Asia,Bhutan,2020-02-02,,0.0,,0.0
BTN,Asia,Bhutan,2020-02-09,,0.0,,0.0
BTN,Asia,Bhutan,2020-02-16,,0.0,,0.0
BTN,Asia,Bhutan,2020-02-23,,0.0,,0.0
BTN,Asia,Bhutan,2020-03-01,,0.0,,0.0
BTN,Asia,Bhutan,2020-03-08,1.0,1.0,,0.0
BTN,Asia,Bhutan,2020-03-15,1.0,0.0,,0.0
BTN,Asia,Bhutan,2020-03-22,2.0,1.0,,0.0
BTN,Asia,Bhutan,2020-03-23,,,,
BTN,Asia,Bhutan,2020-03-24,,,,
BTN,Asia,Bhutan,2020-03-25,,,,
BTN,Asia,Bhutan,2020-03-26,,,,
BTN,Asia,Bhutan,2020-03-27,,,,
BTN,Asia,Bhutan,2020-03-28,,,,
BTN,Asia,Bhutan,2020-03-29,3.0,1.0,,0.0
BTN,Asia,Bhutan,2020-03-30,,,,
BTN,Asia,Bhutan,2020-03-31,,,,
BTN,Asia,Bhutan,2020-04-01,,,,
BTN,Asia,Bhutan,2020-04-02,,,,
BTN,Asia,Bhutan,2020-04-03,,,,
BTN,Asia,Bhutan,2020-04-04,,,,
BTN,Asia,Bhutan,2020-04-05,5.0,2.0,,0.0
BTN,Asia,Bhutan,2020-04-06,,,,
BTN,Asia,Bhutan,2020-04-07,,,,
BTN,Asia,Bhutan,2020-04-08,,,,
BTN,Asia,Bhutan,2020-04-09,,,,
BTN,Asia,Bhutan,2020-04-10,,,,
BTN,Asia,Bhutan,2020-04-11,,,,
BTN,Asia,Bhutan,2020-04-12,5.0,0.0,,0.0
BTN,Asia,Bhutan,2020-04-13,,,,
BTN,Asia,Bhutan,2020-04-14,,,,
BTN,Asia,Bhutan,2020-04-15,,,,
BTN,Asia,Bhutan,2020-04-16,,,,
BTN,Asia,Bhutan,2020-04-17,,,,
BTN,Asia,Bhutan,2020-04-18,,,,
BTN,Asia,Bhutan,2020-04-19,5.0,0.0,,0.0
BTN,Asia,Bhutan,2020-04-20,,,,
BTN,Asia,Bhutan,2020-04-21,,,,
BTN,Asia,Bhutan,2020-04-22,,,,
BTN,Asia,Bhutan,2020-04-23,,,,
BTN,Asia,Bhutan,2020-04-24,,,,
BTN,Asia,Bhutan,2020-04-25,,,,
BTN,Asia,Bhutan,2020-04-26,7.0,2.0,,0.0
BTN,Asia,Bhutan,2020-04-27,,,,
BTN,Asia,Bhutan,2020-04-28,,,,
BTN,Asia,Bhutan,2020-04-29,,,,
BTN,Asia,Bhutan,2020-04-30,,,,
BTN,Asia,Bhutan,2020-05-01,,,,
BTN,Asia,Bhutan,2020-05-02,,,,
BTN,Asia,Bhutan,2020-05-03,7.0,0.0,,0.0
BTN,Asia,Bhutan,2020-05-04,,,,
BTN,Asia,Bhutan,2020-05-05,,,,
BTN,Asia,Bhutan,2020-05-06,,,,
BTN,Asia,Bhutan,2020-05-07,,,,
BTN,Asia,Bhutan,2020-05-08,,,,
BTN,Asia,Bhutan,2020-05-09,,,,
BTN,Asia,Bhutan,2020-05-10,7.0,0.0,,0.0
BTN,Asia,Bhutan,2020-05-11,,,,
BTN,Asia,Bhutan,2020-05-12,,,,
BTN,Asia,Bhutan,2020-05-13,,,,
BTN,Asia,Bhutan,2020-05-14,,,,
BTN,Asia,Bhutan,2020-05-15,,,,
BTN,Asia,Bhutan,2020-05-16,,,,
BTN,Asia,Bhutan,2020-05-17,21.0,14.0,,0.0
BTN,Asia,Bhutan,2020-05-18,,,,
BTN,Asia,Bhutan,2020-05-19,,,,
BTN,Asia,Bhutan,2020-05-20,,,,
BTN,Asia,Bhutan,2020-05-21,,,,
BTN,Asia,Bhutan,2020-05-22,,,,
BTN,Asia,Bhutan,2020-05-23,,,,
BTN,Asia,Bhutan,2020-05-24,27.0,6.0,,0.0
BTN,Asia,Bhutan,2020-05-25,,,,
BTN,Asia,Bhutan,2020-05-26,,,,
BTN,Asia,Bhutan,2020-05-27,,,,
BTN,Asia,Bhutan,2020-05-28,,,,
BTN,Asia,Bhutan,2020-05-29,,,,
BTN,Asia,Bhutan,2020-05-30,,,,
BTN,Asia,Bhutan,2020-05-31,43.0,16.0,,0.0
BTN,Asia,Bhutan,2020-06-01,,,,
BTN,Asia,Bhutan,2020-06-02,,,,
BTN,Asia,Bhutan,2020-06-03,,,,
BTN,Asia,Bhutan,2020-06-04,,,,
