iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
BDI,Africa,Burundi,2020-01-05,,0.0,,0.0
BDI,Africa,Burundi,2020-01-12,,0.0,,0.0
BDI,Africa,Burundi,2020-01-19,,0.0,,0.0
BDI,Africa,Burundi,2020-01-26,,0.0,,0.0
BDI,Africa,Burundi,2020-02-02,,0.0,,0.0
BDI,Africa,Burundi,2020-02-09,,0.0,,0.0
BDI,Africa,Burundi,2020-02-16,,0.0,,0.0
BDI,Africa,Burundi,2020-02-23,,0.0,,0.0
BDI,Africa,Burundi,2020-03-01,,0.0,,0.0
BDI,Africa,Burundi,2020-03-08,,0.0,,0.0
BDI,Africa,Burundi,2020-03-15,,0.0,,0.0
BDI,Africa,Burundi,2020-03-22,,0.0,,0.0
BDI,Africa,Burundi,2020-03-29,,0.0,,0.0
BDI,Africa,Burundi,2020-04-05,3.0,3.0,,0.0
BDI,Africa,Burundi,2020-04-12,5.0,2.0,,0.0
BDI,Africa,Burundi,2020-04-19,5.0,0.0,1.0,1.0
BDI,Africa,Burundi,2020-04-26,15.0,10.0,1.0,0.0
BDI,Africa,Burundi,2020-05-03,19.0,4.0,1.0,0.0
BDI,Africa,Burundi,2020-05-10,27.0,8.0,1.0,0.0
BDI,Africa,Burundi,2020-05-17,42.0,15.0,1.0,0.0
BDI,Africa,Burundi,2020-05-24,42.0,0.0,1.0,0.0
BDI,Africa,Burundi,2020-05-31,63.0,21.0,1.0,0.0
BDI,Africa,Burundi,2020-06-07,83.0,20.0,1.0,0.0
BDI,Africa,Burundi,2020-06-14,94.0,11.0,1.0,0.0
BDI,Africa,Burundi,2020-06-17,,,,
BDI,Africa,Burundi,2020-06-18,,,,
BDI,Africa,Burundi,2020-06-19,,,,
BDI,Africa,Burundi,2020-06-20,,,,
BDI,Africa,Burundi,2020-06-21,144.0,50.0,1.0,0.0
BDI,Africa,Burundi,2020-06-22,,,,
BDI,Africa,Burundi,2020-06-23,,,,
BDI,Africa,Burundi,2020-06-24,,,,
BDI,Africa,Burundi,2020-06-25,,,,
BDI,Africa,Burundi,2020-06-26,,,,
BDI,Africa,Burundi,2020-06-27,,,,
BDI,Africa,Burundi,2020-06-28,170.0,26.0,1.0,0.0
BDI,Africa,Burundi,2020-06-29,,,,
BDI,Africa,Burundi,2020-06-30,,,,
BDI,Africa,Burundi,2020-07-01,,,,
BDI,Africa,Burundi,2020-07-02,,,,
BDI,Africa,Burundi,2020-07-03,,,,
BDI,Africa,Burundi,2020-07-04,,,,
BDI,Africa,Burundi,2020-07-05,191.0,21.0,1.0,0.0
BDI,Africa,Burundi,2020-07-06,,,,
BDI,Africa,Burundi,2020-07-07,,,,
BDI,Africa,Burundi,2020-07-08,,,,
BDI,Africa,Burundi,2020-07-09,,,,
BDI,Africa,Burundi,2020-07-10,,,,
BDI,Africa,Burundi,2020-07-11,,,,
BDI,Africa,Burundi,2020-07-12,257.0,66.0,1.0,0.0
BDI,Africa,Burundi,2020-07-13,,,,
BDI,Africa,Burundi,2020-07-14,,,,
BDI,Africa,Burundi,2020-07-15,,,,
BDI,Africa,Burundi,2020-07-16,,,,
BDI,Africa,Burundi,2020-07-17,,,,
BDI,Africa,Burundi,2020-07-18,,,,
