iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
CAN,North America,Canada,2020-01-03,,0.0,,0.0
CAN,North America,Canada,2020-01-04,,0.0,,0.0
CAN,North America,Canada,2020-01-05,,0.0,,0.0
CAN,North America,Canada,2020-01-06,,0.0,,0.0
CAN,North America,Canada,2020-01-07,,0.0,,0.0
CAN,North America,Canada,2020-01-08,,0.0,,0.0
CAN,North America,Canada,2020-01-09,,0.0,,0.0
CAN,North America,Canada,2020-01-10,,0.0,,0.0
CAN,North America,Canada,2020-01-11,,0.0,,0.0
CAN,North America,Canada,2020-01-12,,0.0,,0.0
CAN,North America,Canada,2020-01-13,,0.0,,0.0
CAN,North America,Canada,2020-01-14,,0.0,,0.0
CAN,North America,Canada,2020-01-15,,0.0,,0.0
CAN,North America,Canada,2020-01-16,,0.0,,0.0
CAN,North America,Canada,2020-01-17,,0.0,,0.0
CAN,North America,Canada,2020-01-18,,0.0,,0.0
CAN,North America,Canada,2020-01-19,,0.0,,0.0
CAN,North America,Canada,2020-01-20,,0.0,,0.0
CAN,North America,Canada,2020-01-21,,0.0,,0.0
CAN,North America,Canada,2020-01-22,,0.0,,0.0
CAN,North America,Canada,2020-01-23,,0.0,,0.0
CAN,North America,Canada,2020-01-24,,0.0,,0.0
CAN,North America,Canada,2020-01-25,,0.0,,0.0
CAN,North America,Canada,2020-01-26,1.0,1.0,,0.0
CAN,North America,Canada,2020-01-27,1.0,0.0,,0.0
CAN,North America,Canada,2020-01-28,2.0,1.0,,0.0
CAN,North America,Canada,2020-01-29,2.0,0.0,,0.0
CAN,North America,Canada,2020-01-30,3.0,1.0,,0.0
CAN,North America,Canada,2020-01-31,3.0,0.0,,0.0
CAN,North America,Canada,2020-02-01,4.0,1.0,,0.0
CAN,North America,Canada,2020-02-02,4.0,0.0,,0.0
CAN,North America,Canada,2020-02-03,4.0,0.0,,0.0
CAN,North America,Canada,2020-02-04,8.0,4.0,,0.0
CAN,North America,Canada,2020-02-05,9.0,1.0,,0.0
CAN,North America,Canada,2020-02-06,9.0,0.0,,0.0
CAN,North America,Canada,2020-02-07,5.0,,,0.0
CAN,North America,Canada,2020-02-08,7.0,2.0,,0.0
CAN,North America,Canada,2020-02-09,7.0,0.0,,0.0
CAN,North America,Canada,2020-02-10,7.0,0.0,,0.0
CAN,North America,Canada,2020-02-11,7.0,0.0,,0.0
CAN,North America,Canada,2020-02-12,7.0,0.0,,0.0
CAN,North America,Canada,2020-02-13,7.0,0.0,,0.0
CAN,North America,Canada,2020-02-14,7.0,0.0,,0.0
CAN,North America,Canada,2020-02-15,7.0,0.0,,0.0
CAN,North America,Canada,2020-02-16,7.0,0.0,,0.0
CAN,North America,Canada,2020-02-17,8.0,1.0,,0.0
CAN,North America,Canada,2020-02-18,8.0,0.0,,0.0
CAN,North America,Canada,2020-02-19,8.0,0.0,,0.0
CAN,North America,Canada,2020-02-20,8.0,0.0,,0.0
CAN,North America,Canada,2020-02-21,8.0,0.0,,0.0
CAN,North America,Canada,2020-02-22,9.0,1.0,,0.0
CAN,North America,Canada,2020-02-23,9.0,0.0,,0.0
CAN,North America,Canada,2020-02-24,9.0,0.0,,0.0
CAN,North America,Canada,2020-02-25,10.0,1.0,,0.0
CAN,North America,Canada,2020-02-26,10.0,0.0,,0.0
CAN,North America,Canada,2020-02-27,11.0,1.0,,0.0
CAN,North America,Canada,2020-02-28,12.0,1.0,,0.0
CAN,North America,Canada,2020-02-29,13.0,1.0,,0.0
CAN,North America,Canada,2020-03-01,15.0,2.0,,0.0
CAN,North America,Canada,2020-03-02,15.0,0.0,,0.0
CAN,North America,Canada,2020-03-03,24.0,9.0,,0.0
CAN,North America,Canada,2020-03-04,33.0,9.0,,0.0
CAN,North America,Canada,2020-03-05,33.0,0.0,,0.0
CAN,North America,Canada,2020-03-06,45.0,12.0,,0.0
CAN,North America,Canada,2020-03-07,45.0,0.0,,0.0
CAN,North America,Canada,2020-03-08,51.0,6.0,,0.0
CAN,North America,Canada,2020-03-09,57.0,6.0,,0.0
CAN,North America,Canada,2020-03-10,62.0,5.0,1.0,1.0
CAN,North America,Canada,2020-03-11,77.0,15.0,1.0,0.0
CAN,North America,Canada,2020-03-12,103.0,26.0,1.0,0.0
CAN,North America,Canada,2020-03-13,103.0,0.0,1.0,0.0
CAN,North America,Canada,2020-03-14,138.0,35.0,1.0,0.0
CAN,North America,Canada,2020-03-15,176.0,38.0,1.0,0.0
CAN,North America,Canada,2020-03-16,193.0,17.0,1.0,0.0
CAN,North America,Canada,2020-03-17,249.0,56.0,1.0,0.0
CAN,North America,Canada,2020-03-18,324.0,75.0,4.0,3.0
CAN,North America,Canada,2020-03-19,424.0,100.0,7.0,3.0
CAN,North America,Canada,2020-03-20,569.0,145.0,8.0,1.0
CAN,North America,Canada,2020-03-21,846.0,277.0,10.0,2.0
CAN,North America,Canada,2020-03-22,971.0,125.0,11.0,1.0
CAN,North America,Canada,2020-03-23,1302.0,331.0,15.0,4.0
CAN,North America,Canada,2020-03-24,1430.0,128.0,15.0,0.0
CAN,North America,Canada,2020-03-25,1646.0,216.0,18.0,3.0
CAN,North America,Canada,2020-03-26,1959.0,313.0,19.0,1.0
CAN,North America,Canada,2020-03-27,3385.0,1426.0,22.0,3.0
CAN,North America,Canada,2020-03-28,4018.0,633.0,24.0,2.0
