iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
CZE,Europe,Czechia,2020-01-03,,0.0,,0.0
CZE,Europe,Czechia,2020-01-04,,0.0,,0.0
CZE,Europe,Czechia,2020-01-05,,0.0,,0.0
CZE,Europe,Czechia,2020-01-06,,0.0,,0.0
CZE,Europe,Czechia,2020-01-07,,0.0,,0.0
CZE,Europe,Czechia,2020-01-08,,0.0,,0.0
CZE,Europe,Czechia,2020-01-09,,0.0,,0.0
CZE,Europe,Czechia,2020-01-10,,0.0,,0.0
CZE,Europe,Czechia,2020-01-11,,0.0,,0.0
CZE,Europe,Czechia,2020-01-12,,0.0,,0.0
CZE,Europe,Czechia,2020-01-13,,0.0,,0.0
CZE,Europe,Czechia,2020-01-14,,0.0,,0.0
CZE,Europe,Czechia,2020-01-15,,0.0,,0.0
CZE,Europe,Czechia,2020-01-16,,0.0,,0.0
CZE,Europe,Czechia,2020-01-17,,0.0,,0.0
CZE,Europe,Czechia,2020-01-18,,0.0,,0.0
CZE,Europe,Czechia,2020-01-19,,0.0,,0.0
CZE,Europe,Czechia,2020-01-20,,0.0,,0.0
CZE,Europe,Czechia,2020-01-21,,0.0,,0.0
CZE,Europe,Czechia,2020-01-22,,0.0,,0.0
CZE,Europe,Czechia,2020-01-23,,0.0,,0.0
CZE,Europe,Czechia,2020-01-24,,0.0,,0.0
CZE,Europe,Czechia,2020-01-25,,0.0,,0.0
CZE,Europe,Czechia,2020-01-26,,0.0,,0.0
CZE,Europe,Czechia,2020-01-27,,0.0,,0.0
CZE,Europe,Czechia,2020-01-28,,0.0,,0.0
CZE,Europe,Czechia,2020-01-29,,0.0,,0.0
CZE,Europe,Czechia,2020-01-30,,0.0,,0.0
CZE,Europe,Czechia,2020-01-31,,0.0,,0.0
CZE,Europe,Czechia,2020-02-01,,0.0,,0.0
CZE,Europe,Czechia,2020-02-02,,0.0,,0.0
CZE,Europe,Czechia,2020-02-03,,0.0,,0.0
CZE,Europe,Czechia,2020-02-04,,0.0,,0.0
CZE,Europe,Czechia,2020-02-05,,0.0,,0.0
CZE,Europe,Czechia,2020-02-06,,0.0,,0.0
CZE,Europe,Czechia,2020-02-07,,0.0,,0.0
CZE,Europe,Czechia,2020-02-08,,0.0,,0.0
CZE,Europe,Czechia,2020-02-09,,0.0,,0.0
CZE,Europe,Czechia,2020-02-10,,0.0,,0.0
CZE,Europe,Czechia,2020-02-11,,0.0,,0.0
CZE,Europe,Czechia,2020-02-12,,0.0,,0.0
CZE,Europe,Czechia,2020-02-13,,0.0,,0.0
CZE,Europe,Czechia,2020-02-14,,0.0,,0.0
CZE,Europe,Czechia,2020-02-15,,0.0,,0.0
CZE,Europe,Czechia,2020-02-16,,0.0,,0.0
CZE,Europe,Czechia,2020-02-17,,0.0,,0.0
CZE,Europe,Czechia,2020-02-18,,0.0,,0.0
CZE,Europe,Czechia,2020-02-19,,0.0,,0.0
CZE,Europe,Czechia,2020-02-20,,0.0,,0.0
CZE,Europe,Czechia,2020-02-21,,0.0,,0.0
CZE,Europe,Czechia,2020-02-22,,0.0,,0.0
CZE,Europe,Czechia,2020-02-23,,0.0,,0.0
CZE,Europe,Czechia,2020-02-24,,0.0,,0.0
CZE,Europe,Czechia,2020-02-25,,0.0,,0.0
CZE,Europe,Czechia,2020-02-26,,0.0,,0.0
CZE,Europe,Czechia,2020-02-27,,0.0,,0.0
CZE,Europe,Czechia,2020-02-28,,0.0,,0.0
CZE,Europe,Czechia,2020-02-29,,0.0,,0.0
CZE,Europe,Czechia,2020-03-01,,0.0,,0.0
CZE,Europe,Czechia,2020-03-02,3.0,3.0,,0.0
CZE,Europe,Czechia,2020-03-03,3.0,0.0,,0.0
CZE,Europe,Czechia,2020-03-04,5.0,2.0,,0.0
CZE,Europe,Czechia,2020-03-05,6.0,1.0,,0.0
CZE,Europe,Czechia,2020-03-06,9.0,3.0,,0.0
CZE,Europe,Czechia,2020-03-07,20.0,11.0,,0.0
CZE,Europe,Czechia,2020-03-08,27.0,7.0,,0.0
CZE,Europe,Czechia,2020-03-09,33.0,6.0,,0.0
CZE,Europe,Czechia,2020-03-10,39.0,6.0,,0.0
CZE,Europe,Czechia,2020-03-11,64.0,25.0,,0.0
CZE,Europe,Czechia,2020-03-12,95.0,31.0,,0.0
CZE,Europe,Czechia,2020-03-13,117.0,22.0,,0.0
CZE,Europe,Czechia,2020-03-14,142.0,25.0,,0.0
CZE,Europe,Czechia,2020-03-15,190.0,48.0,,0.0
CZE,Europe,Czechia,2020-03-16,299.0,109.0,,0.0
CZE,Europe,Czechia,2020-03-17,385.0,86.0,,0.0
CZE,Europe,Czechia,2020-03-18,457.0,72.0,,0.0
CZE,Europe,Czechia,2020-03-19,567.0,110.0,,0.0
CZE,Europe,Czechia,2020-03-20,774.0,207.0,,0.0
CZE,Europe,Czechia,2020-03-21,899.0,125.0,,0.0
CZE,Europe,Czechia,2020-03-22,1059.0,160.0,,0.0
CZE,Europe,Czechia,2020-03-23,1174.0,115.0,1.0,1.0
CZE,Europe,Czechia,2020-03-24,1301.0,127.0,1.0,0.0
CZE,Europe,Czechia,2020-03-25,1486.0,185.0,3.0,2.0
CZE,Europe,Czechia,2020-03-26,1780.0,294.0,10.0,7.0
CZE,Europe,Czechia,2020-03-27,2040.0,260.0,10.0,0.0
CZE,Europe,Czechia,2020-03-28,2419.0,379.0,12.0,2.0
CZE,Europe,Czechia,2020-03-29,2683.0,264.0,17.0,5.0
CZE,Europe,Czechia,2020-03-30,2842.0,159.0,23.0,6.0
CZE,Europe,Czechia,2020-03-31,3026.0,184.0,28.0,5.0
CZE,Europe,Czechia,2020-04-01,3334.0,308.0,35.0,7.0
CZE,Europe,Czechia,2020-04-02,3618.0,284.0,43.0,8.0
CZE,Europe,Czechia,2020-04-03,3886.0,268.0,49.0,6.0
CZE,Europe,Czechia,2020-04-04,4220.0,334.0,57.0,8.0
CZE,Europe,Czechia,2020-04-05,4504.0,284.0,66.0,9.0
CZE,Europe,Czechia,2020-04-06,4622.0,118.0,74.0,8.0
CZE,Europe,Czechia,2020-04-07,4859.0,237.0,82.0,8.0
CZE,Europe,Czechia,2020-04-08,5055.0,196.0,92.0,10.0
CZE,Europe,Czechia,2020-04-09,5349.0,294.0,107.0,15.0
CZE,Europe,Czechia,2020-04-10,5608.0,259.0,117.0,10.0
CZE,Europe,Czechia,2020-04-11,5771.0,163.0,128.0,11.0
CZE,Europe,Czechia,2020-04-12,5942.0,171.0,136.0,8.0
CZE,Europe,Czechia,2020-04-13,6031.0,89.0,146.0,10.0
CZE,Europe,Czechia,2020-04-14,6099.0,68.0,157.0,11.0
CZE,Europe,Czechia,2020-04-15,6181.0,82.0,166.0,9.0
CZE,Europe,Czechia,2020-04-16,6341.0,160.0,166.0,0.0
CZE,Europe,Czechia,2020-04-17,6475.0,134.0,168.0,2.0
CZE,Europe,Czechia,2020-04-18,6591.0,116.0,176.0,8.0
CZE,Europe,Czechia,2020-04-19,6696.0,105.0,180.0,4.0
CZE,Europe,Czechia,2020-04-20,6789.0,93.0,189.0,9.0
CZE,Europe,Czechia,2020-04-21,6943.0,154.0,196.0,7.0
CZE,Europe,Czechia,2020-04-22,7076.0,133.0,204.0,8.0
CZE,Europe,Czechia,2020-04-23,7175.0,99.0,206.0,2.0
CZE,Europe,Czechia,2020-04-24,7232.0,57.0,212.0,6.0
CZE,Europe,Czechia,2020-04-25,7318.0,86.0,218.0,6.0
CZE,Europe,Czechia,2020-04-26,7397.0,79.0,222.0,4.0
CZE,Europe,Czechia,2020-04-27,7449.0,52.0,224.0,2.0
CZE,Europe,Czechia,2020-04-28,7490.0,41.0,225.0,1.0
CZE,Europe,Czechia,2020-04-29,7550.0,60.0,229.0,4.0
CZE,Europe,Czechia,2020-04-30,7625.0,75.0,234.0,5.0
CZE,Europe,Czechia,2020-05-01,7734.0,109.0,242.0,8.0
CZE,Europe,Czechia,2020-05-02,7791.0,57.0,250.0,8.0
CZE,Europe,Czechia,2020-05-03,7809.0,18.0,251.0,1.0
CZE,Europe,Czechia,2020-05-04,7835.0,26.0,254.0,3.0
CZE,Europe,Czechia,2020-05-05,7874.0,39.0,259.0,5.0
CZE,Europe,Czechia,2020-05-06,7951.0,77.0,262.0,3.0
CZE,Europe,Czechia,2020-05-07,8030.0,79.0,265.0,3.0
CZE,Europe,Czechia,2020-05-08,8089.0,59.0,269.0,4.0
CZE,Europe,Czechia,2020-05-09,8135.0,46.0,274.0,5.0
CZE,Europe,Czechia,2020-05-10,8153.0,18.0,277.0,3.0
CZE,Europe,Czechia,2020-05-11,8181.0,28.0,280.0,3.0
CZE,Europe,Czechia,2020-05-12,8239.0,58.0,282.0,2.0
CZE,Europe,Czechia,2020-05-13,8285.0,46.0,285.0,3.0
CZE,Europe,Czechia,2020-05-14,8337.0,52.0,289.0,4.0
