iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
GRC,Europe,Greece,2020-01-05,,0.0,,0.0
GRC,Europe,Greece,2020-01-06,,,,
GRC,Europe,Greece,2020-01-12,,0.0,,0.0
GRC,Europe,Greece,2020-01-18,,,,
GRC,Europe,Greece,2020-01-19,,0.0,,0.0
GRC,Europe,Greece,2020-01-26,,0.0,,0.0
GRC,Europe,Greece,2020-02-02,,0.0,,0.0
GRC,Europe,Greece,2020-02-09,,0.0,,0.0
GRC,Europe,Greece,2020-02-12,,,,
GRC,Europe,Greece,2020-02-16,,0.0,,0.0
GRC,Europe,Greece,2020-02-23,,0.0,,0.0
GRC,Europe,Greece,2020-03-01,6.0,6.0,,0.0
GRC,Europe,Greece,2020-03-03,,,,
GRC,Europe,Greece,2020-03-04,,,,
GRC,Europe,Greece,2020-03-05,,,,
GRC,Europe,Greece,2020-03-06,,,,
GRC,Europe,Greece,2020-03-07,,,,
GRC,Europe,Greece,2020-03-08,86.0,80.0,,0.0
GRC,Europe,Greece,2020-03-09,,,,
GRC,Europe,Greece,2020-03-10,,,,
GRC,Europe,Greece,2020-03-11,,,,
GRC,Europe,Greece,2020-03-12,,,,
GRC,Europe,Greece,2020-03-13,,,,
GRC,Europe,Greece,2020-03-14,,,,
GRC,Europe,Greece,2020-03-15,413.0,327.0,4.0,4.0
GRC,Europe,Greece,2020-03-16,,,,
GRC,Europe,Greece,2020-03-17,,,,
GRC,Europe,Greece,2020-03-18,,,,
GRC,Europe,Greece,2020-03-19,,,,
GRC,Europe,Greece,2020-03-20,,,,
GRC,Europe,Greece,2020-03-21,,,,
GRC,Europe,Greece,2020-03-22,794.0,381.0,17.0,13.0
GRC,Europe,Greece,2020-03-23,,,,
GRC,Europe,Greece,2020-03-24,,,,
GRC,Europe,Greece,2020-03-25,,,,
GRC,Europe,Greece,2020-03-26,,,,
GRC,Europe,Greece,2020-03-27,,,,
GRC,Europe,Greece,2020-03-28,,,,
GRC,Europe,Greece,2020-03-29,1332.0,538.0,42.0,25.0
GRC,Europe,Greece,2020-03-30,,,,
GRC,Europe,Greece,2020-03-31,,,,
GRC,Europe,Greece,2020-04-01,,,,
GRC,Europe,Greece,2020-04-02,,,,
GRC,Europe,Greece,2020-04-03,,,,
GRC,Europe,Greece,2020-04-04,,,,
GRC,Europe,Greece,2020-04-05,1866.0,534.0,77.0,35.0
GRC,Europe,Greece,2020-04-06,,,,
GRC,Europe,Greece,2020-04-07,,,,
GRC,Europe,Greece,2020-04-08,,,,
GRC,Europe,Greece,2020-04-09,,,,
GRC,Europe,Greece,2020-04-10,,,,
GRC,Europe,Greece,2020-04-11,,,,
GRC,Europe,Greece,2020-04-12,2155.0,289.0,99.0,22.0
GRC,Europe,Greece,2020-04-13,,,,
GRC,Europe,Greece,2020-04-14,,,,
GRC,Europe,Greece,2020-04-15,,,,
GRC,Europe,Greece,2020-04-16,,,,
GRC,Europe,Greece,2020-04-17,,,,
GRC,Europe,Greece,2020-04-18,,,,
