iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
ISL,Europe,Iceland,2020-01-05,,0.0,,0.0
ISL,Europe,Iceland,2020-01-12,,0.0,,0.0
ISL,Europe,Iceland,2020-01-19,,0.0,,0.0
ISL,Europe,Iceland,2020-01-26,,0.0,,0.0
ISL,Europe,Iceland,2020-02-02,,0.0,,0.0
ISL,Europe,Iceland,2020-02-09,15.0,15.0,,0.0
ISL,Europe,Iceland,2020-02-16,15.0,0.0,,0.0
ISL,Europe,Iceland,2020-02-23,15.0,0.0,,0.0
ISL,Europe,Iceland,2020-02-28,,,,
ISL,Europe,Iceland,2020-02-29,,,,
ISL,Europe,Iceland,2020-03-01,22.0,7.0,,0.0
ISL,Europe,Iceland,2020-03-02,,,,
ISL,Europe,Iceland,2020-03-03,,,,
ISL,Europe,Iceland,2020-03-04,,,,
ISL,Europe,Iceland,2020-03-05,,,,
ISL,Europe,Iceland,2020-03-06,,,,
ISL,Europe,Iceland,2020-03-07,,,,
ISL,Europe,Iceland,2020-03-08,75.0,53.0,,0.0
ISL,Europe,Iceland,2020-03-09,,,,
ISL,Europe,Iceland,2020-03-10,,,,
ISL,Europe,Iceland,2020-03-11,,,,
ISL,Europe,Iceland,2020-03-12,,,,
ISL,Europe,Iceland,2020-03-13,,,,
ISL,Europe,Iceland,2020-03-14,,,,
ISL,Europe,Iceland,2020-03-15,192.0,117.0,,0.0
ISL,Europe,Iceland,2020-03-16,,,,
ISL,Europe,Iceland,2020-03-17,,,,
ISL,Europe,Iceland,2020-03-18,,,,
ISL,Europe,Iceland,2020-03-19,,,,
ISL,Europe,Iceland,2020-03-20,,,,
ISL,Europe,Iceland,2020-03-21,,,,
ISL,Europe,Iceland,2020-03-22,653.0,461.0,1.0,1.0
ISL,Europe,Iceland,2020-03-23,,,,
ISL,Europe,Iceland,2020-03-24,,,,
ISL,Europe,Iceland,2020-03-25,,,,
ISL,Europe,Iceland,2020-03-26,,,,
ISL,Europe,Iceland,2020-03-27,,,,
ISL,Europe,Iceland,2020-03-28,,,,
ISL,Europe,Iceland,2020-03-29,1162.0,509.0,2.0,1.0
ISL,Europe,Iceland,2020-03-30,,,,
ISL,Europe,Iceland,2020-03-31,,,,
ISL,Europe,Iceland,2020-04-01,,,,
ISL,Europe,Iceland,2020-04-02,,,,
ISL,Europe,Iceland,2020-04-03,,,,
ISL,Europe,Iceland,2020-04-04,,,,
ISL,Europe,Iceland,2020-04-05,1602.0,440.0,6.0,4.0
ISL,Europe,Iceland,2020-04-06,,,,
ISL,Europe,Iceland,2020-04-07,,,,
ISL,Europe,Iceland,2020-04-08,,,,
ISL,Europe,Iceland,2020-04-09,,,,
ISL,Europe,Iceland,2020-04-10,,,,
ISL,Europe,Iceland,2020-04-11,,,,
ISL,Europe,Iceland,2020-04-12,1737.0,135.0,8.0,2.0
ISL,Europe,Iceland,2020-04-13,,,,
ISL,Europe,Iceland,2020-04-14,,,,
ISL,Europe,Iceland,2020-04-15,,,,
ISL,Europe,Iceland,2020-04-16,,,,
ISL,Europe,Iceland,2020-04-17,,,,
ISL,Europe,Iceland,2020-04-18,,,,
ISL,Europe,Iceland,2020-04-19,1790.0,53.0,9.0,1.0
ISL,Europe,Iceland,2020-04-20,,,,
ISL,Europe,Iceland,2020-04-21,,,,
ISL,Europe,Iceland,2020-04-22,,,,
ISL,Europe,Iceland,2020-04-23,,,,
ISL,Europe,Iceland,2020-04-24,,,,
ISL,Europe,Iceland,2020-04-25,,,,
ISL,Europe,Iceland,2020-04-26,1806.0,16.0,10.0,1.0
ISL,Europe,Iceland,2020-04-27,,,,
ISL,Europe,Iceland,2020-04-28,,,,
ISL,Europe,Iceland,2020-04-29,,,,
ISL,Europe,Iceland,2020-04-30,,,,
ISL,Europe,Iceland,2020-05-01,,,,
ISL,Europe,Iceland,2020-05-02,,,,
ISL,Europe,Iceland,2020-05-03,1813.0,7.0,10.0,0.0
ISL,Europe,Iceland,2020-05-04,,,,
ISL,Europe,Iceland,2020-05-05,,,,
ISL,Europe,Iceland,2020-05-06,,,,
ISL,Europe,Iceland,2020-05-07,,,,
ISL,Europe,Iceland,2020-05-08,,,,
ISL,Europe,Iceland,2020-05-09,,,,
ISL,Europe,Iceland,2020-05-10,1815.0,2.0,10.0,0.0
ISL,Europe,Iceland,2020-05-11,,,,
ISL,Europe,Iceland,2020-05-12,,,,
ISL,Europe,Iceland,2020-05-13,,,,
ISL,Europe,Iceland,2020-05-14,,,,
ISL,Europe,Iceland,2020-05-15,,,,
ISL,Europe,Iceland,2020-05-16,,,,
ISL,Europe,Iceland,2020-05-17,1816.0,1.0,10.0,0.0
ISL,Europe,Iceland,2020-05-18,,,,
ISL,Europe,Iceland,2020-05-19,,,,
ISL,Europe,Iceland,2020-05-20,,,,
ISL,Europe,Iceland,2020-05-21,,,,
ISL,Europe,Iceland,2020-05-22,,,,
ISL,Europe,Iceland,2020-05-23,,,,
ISL,Europe,Iceland,2020-05-24,1818.0,2.0,10.0,0.0
ISL,Europe,Iceland,2020-05-25,,,,
ISL,Europe,Iceland,2020-05-26,,,,
ISL,Europe,Iceland,2020-05-27,,,,
ISL,Europe,Iceland,2020-05-28,,,,
ISL,Europe,Iceland,2020-05-29,,,,
ISL,Europe,Iceland,2020-05-30,,,,
ISL,Europe,Iceland,2020-05-31,1820.0,2.0,10.0,0.0
ISL,Europe,Iceland,2020-06-01,,,,
ISL,Europe,Iceland,2020-06-02,,,,
ISL,Europe,Iceland,2020-06-03,,,,
ISL,Europe,Iceland,2020-06-04,,,,
ISL,Europe,Iceland,2020-06-05,,,,
ISL,Europe,Iceland,2020-06-06,,,,
ISL,Europe,Iceland,2020-06-07,1821.0,1.0,10.0,0.0
ISL,Europe,Iceland,2020-06-08,,,,
ISL,Europe,Iceland,2020-06-09,,,,
ISL,Europe,Iceland,2020-06-10,,,,
ISL,Europe,Iceland,2020-06-11,,,,
ISL,Europe,Iceland,2020-06-12,,,,
ISL,Europe,Iceland,2020-06-13,,,,
ISL,Europe,Iceland,2020-06-14,1823.0,2.0,10.0,0.0
ISL,Europe,Iceland,2020-06-15,,,,
ISL,Europe,Iceland,2020-06-16,,,,
ISL,Europe,Iceland,2020-06-17,,,,
ISL,Europe,Iceland,2020-06-18,,,,
ISL,Europe,Iceland,2020-06-19,,,,
ISL,Europe,Iceland,2020-06-20,,,,
ISL,Europe,Iceland,2020-06-21,1828.0,5.0,10.0,0.0
ISL,Europe,Iceland,2020-06-22,,,,
ISL,Europe,Iceland,2020-06-23,,,,
ISL,Europe,Iceland,2020-06-24,,,,
ISL,Europe,Iceland,2020-06-25,,,,
ISL,Europe,Iceland,2020-06-26,,,,
ISL,Europe,Iceland,2020-06-27,,,,
ISL,Europe,Iceland,2020-06-28,1834.0,6.0,10.0,0.0
ISL,Europe,Iceland,2020-06-29,,,,
ISL,Europe,Iceland,2020-06-30,,,,
ISL,Europe,Iceland,2020-07-01,,,,
ISL,Europe,Iceland,2020-07-02,,,,
ISL,Europe,Iceland,2020-07-03,,,,
ISL,Europe,Iceland,2020-07-04,,,,
ISL,Europe,Iceland,2020-07-05,1843.0,9.0,10.0,0.0
ISL,Europe,Iceland,2020-07-06,,,,
ISL,Europe,Iceland,2020-07-07,,,,
ISL,Europe,Iceland,2020-07-08,,,,
ISL,Europe,Iceland,2020-07-09,,,,
ISL,Europe,Iceland,2020-07-10,,,,
ISL,Europe,Iceland,2020-07-11,,,,
ISL,Europe,Iceland,2020-07-12,1846.0,3.0,10.0,0.0
ISL,Europe,Iceland,2020-07-13,,,,
ISL,Europe,Iceland,2020-07-14,,,,
ISL,Europe,Iceland,2020-07-15,,,,
ISL,Europe,Iceland,2020-07-16,,,,
ISL,Europe,Iceland,2020-07-17,,,,
ISL,Europe,Iceland,2020-07-18,,,,
ISL,Europe,Iceland,2020-07-19,1852.0,6.0,10.0,0.0
ISL,Europe,Iceland,2020-07-20,,,,
ISL,Europe,Iceland,2020-07-21,,,,
ISL,Europe,Iceland,2020-07-22,,,,
ISL,Europe,Iceland,2020-07-23,,,,
ISL,Europe,Iceland,2020-07-24,,,,
ISL,Europe,Iceland,2020-07-25,,,,
ISL,Europe,Iceland,2020-07-26,1868.0,16.0,10.0,0.0
ISL,Europe,Iceland,2020-07-27,,,,
ISL,Europe,Iceland,2020-07-28,,,,
ISL,Europe,Iceland,2020-07-29,,,,
ISL,Europe,Iceland,2020-07-30,,,,
ISL,Europe,Iceland,2020-07-31,,,,
ISL,Europe,Iceland,2020-08-01,,,,
ISL,Europe,Iceland,2020-08-02,1927.0,59.0,10.0,0.0
ISL,Europe,Iceland,2020-08-03,,,,
ISL,Europe,Iceland,2020-08-04,,,,
ISL,Europe,Iceland,2020-08-05,,,,
ISL,Europe,Iceland,2020-08-06,,,,
ISL,Europe,Iceland,2020-08-07,,,,
ISL,Europe,Iceland,2020-08-08,,,,
ISL,Europe,Iceland,2020-08-09,1974.0,47.0,10.0,0.0
ISL,Europe,Iceland,2020-08-10,,,,
ISL,Europe,Iceland,2020-08-11,,,,
ISL,Europe,Iceland,2020-08-12,,,,
ISL,Europe,Iceland,2020-08-13,,,,
ISL,Europe,Iceland,2020-08-14,,,,
ISL,Europe,Iceland,2020-08-15,,,,
ISL,Europe,Iceland,2020-08-16,2028.0,54.0,10.0,0.0
ISL,Europe,Iceland,2020-08-17,,,,
ISL,Europe,Iceland,2020-08-18,,,,
ISL,Europe,Iceland,2020-08-19,,,,
ISL,Europe,Iceland,2020-08-20,,,,
ISL,Europe,Iceland,2020-08-21,,,,
ISL,Europe,Iceland,2020-08-22,,,,
ISL,Europe,Iceland,2020-08-23,2083.0,55.0,10.0,0.0
ISL,Europe,Iceland,2020-08-24,,,,
ISL,Europe,Iceland,2020-08-25,,,,
ISL,Europe,Iceland,2020-08-26,,,,
ISL,Europe,Iceland,2020-08-27,,,,
ISL,Europe,Iceland,2020-08-28,,,,
ISL,Europe,Iceland,2020-08-29,,,,
ISL,Europe,Iceland,2020-08-30,2124.0,41.0,10.0,0.0
ISL,Europe,Iceland,2020-08-31,,,,
ISL,Europe,Iceland,2020-09-01,,,,
ISL,Europe,Iceland,2020-09-02,,,,
ISL,Europe,Iceland,2020-09-03,,,,
ISL,Europe,Iceland,2020-09-04,,,,
ISL,Europe,Iceland,2020-09-05,,,,
ISL,Europe,Iceland,2020-09-06,2156.0,32.0,10.0,0.0
ISL,Europe,Iceland,2020-09-07,,,,
ISL,Europe,Iceland,2020-09-08,,,,
ISL,Europe,Iceland,2020-09-09,,,,
ISL,Europe,Iceland,2020-09-10,,,,
ISL,Europe,Iceland,2020-09-11,,,,
ISL,Europe,Iceland,2020-09-12,,,,
ISL,Europe,Iceland,2020-09-13,2181.0,25.0,10.0,0.0
ISL,Europe,Iceland,2020-09-14,,,,
ISL,Europe,Iceland,2020-09-15,,,,
ISL,Europe,Iceland,2020-09-16,,,,
ISL,Europe,Iceland,2020-09-17,,,,
ISL,Europe,Iceland,2020-09-18,,,,
ISL,Europe,Iceland,2020-09-19,,,,
ISL,Europe,Iceland,2020-09-20,2393.0,212.0,10.0,0.0
ISL,Europe,Iceland,2020-09-21,,,,
ISL,Europe,Iceland,2020-09-22,,,,
ISL,Europe,Iceland,2020-09-23,,,,
ISL,Europe,Iceland,2020-09-24,,,,
ISL,Europe,Iceland,2020-09-25,,,,
ISL,Europe,Iceland,2020-09-26,,,,
ISL,Europe,Iceland,2020-09-27,2673.0,280.0,10.0,0.0
ISL,Europe,Iceland,2020-09-28,,,,
ISL,Europe,Iceland,2020-09-29,,,,
ISL,Europe,Iceland,2020-09-30,,,,
ISL,Europe,Iceland,2020-10-01,,,,
ISL,Europe,Iceland,2020-10-02,,,,
ISL,Europe,Iceland,2020-10-03,,,,
ISL,Europe,Iceland,2020-10-04,2994.0,321.0,10.0,0.0
ISL,Europe,Iceland,2020-10-05,,,,
ISL,Europe,Iceland,2020-10-06,,,,
ISL,Europe,Iceland,2020-10-07,,,,
ISL,Europe,Iceland,2020-10-08,,,,
ISL,Europe,Iceland,2020-10-09,,,,
ISL,Europe,Iceland,2020-10-10,,,,
ISL,Europe,Iceland,2020-10-11,3597.0,603.0,11.0,1.0
ISL,Europe,Iceland,2020-10-12,,,,
ISL,Europe,Iceland,2020-10-13,,,,
ISL,Europe,Iceland,2020-10-14,,,,
ISL,Europe,Iceland,2020-10-15,,,,
ISL,Europe,Iceland,2020-10-16,,,,
ISL,Europe,Iceland,2020-10-17,,,,
ISL,Europe,Iceland,2020-10-18,4129.0,532.0,12.0,1.0
ISL,Europe,Iceland,2020-10-19,,,,
ISL,Europe,Iceland,2020-10-20,,,,
ISL,Europe,Iceland,2020-10-21,,,,
ISL,Europe,Iceland,2020-10-22,,,,
ISL,Europe,Iceland,2020-10-23,,,,
ISL,Europe,Iceland,2020-10-24,,,,
ISL,Europe,Iceland,2020-10-25,4526.0,397.0,12.0,0.0
ISL,Europe,Iceland,2020-10-26,,,,
ISL,Europe,Iceland,2020-10-27,,,,
ISL,Europe,Iceland,2020-10-28,,,,
ISL,Europe,Iceland,2020-10-29,,,,
ISL,Europe,Iceland,2020-10-30,,,,
ISL,Europe,Iceland,2020-10-31,,,,
ISL,Europe,Iceland,2020-11-01,4934.0,408.0,17.0,5.0
ISL,Europe,Iceland,2020-11-02,,,,
ISL,Europe,Iceland,2020-11-03,,,,
ISL,Europe,Iceland,2020-11-04,,,,
ISL,Europe,Iceland,2020-11-05,,,,
ISL,Europe,Iceland,2020-11-06,,,,
ISL,Europe,Iceland,2020-11-07,,,,
ISL,Europe,Iceland,2020-11-08,5108.0,174.0,24.0,7.0
ISL,Europe,Iceland,2020-11-09,,,,
ISL,Europe,Iceland,2020-11-10,,,,
ISL,Europe,Iceland,2020-11-11,,,,
ISL,Europe,Iceland,2020-11-12,,,,
ISL,Europe,Iceland,2020-11-13,,,,
ISL,Europe,Iceland,2020-11-14,,,,
ISL,Europe,Iceland,2020-11-15,5216.0,108.0,25.0,1.0
ISL,Europe,Iceland,2020-11-16,,,,
ISL,Europe,Iceland,2020-11-17,,,,
ISL,Europe,Iceland,2020-11-18,,,,
ISL,Europe,Iceland,2020-11-19,,,,
ISL,Europe,Iceland,2020-11-20,,,,
ISL,Europe,Iceland,2020-11-21,,,,
ISL,Europe,Iceland,2020-11-22,5296.0,80.0,26.0,1.0
ISL,Europe,Iceland,2020-11-23,,,,
ISL,Europe,Iceland,2020-11-24,,,,
ISL,Europe,Iceland,2020-11-25,,,,
ISL,Europe,Iceland,2020-11-26,,,,
ISL,Europe,Iceland,2020-11-27,,,,
