iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
IRN,Asia,Iran,2020-01-03,,0.0,,0.0
IRN,Asia,Iran,2020-01-04,,0.0,,0.0
IRN,Asia,Iran,2020-01-05,,0.0,,0.0
IRN,Asia,Iran,2020-01-06,,0.0,,0.0
IRN,Asia,Iran,2020-01-07,,0.0,,0.0
IRN,Asia,Iran,2020-01-08,,0.0,,0.0
IRN,Asia,Iran,2020-01-09,,0.0,,0.0
IRN,Asia,Iran,2020-01-10,,0.0,,0.0
IRN,Asia,Iran,2020-01-11,,0.0,,0.0
IRN,Asia,Iran,2020-01-12,,0.0,,0.0
IRN,Asia,Iran,2020-01-13,,0.0,,0.0
IRN,Asia,Iran,2020-01-14,,0.0,,0.0
IRN,Asia,Iran,2020-01-15,,0.0,,0.0
IRN,Asia,Iran,2020-01-16,,0.0,,0.0
IRN,Asia,Iran,2020-01-17,,0.0,,0.0
IRN,Asia,Iran,2020-01-18,,0.0,,0.0
IRN,Asia,Iran,2020-01-19,,0.0,,0.0
IRN,Asia,Iran,2020-01-20,,0.0,,0.0
IRN,Asia,Iran,2020-01-21,,0.0,,0.0
IRN,Asia,Iran,2020-01-22,,0.0,,0.0
IRN,Asia,Iran,2020-01-23,,0.0,,0.0
IRN,Asia,Iran,2020-01-24,,0.0,,0.0
IRN,Asia,Iran,2020-01-25,,0.0,,0.0
IRN,Asia,Iran,2020-01-26,,0.0,,0.0
IRN,Asia,Iran,2020-01-27,,0.0,,0.0
IRN,Asia,Iran,2020-01-28,,0.0,,0.0
IRN,Asia,Iran,2020-01-29,,0.0,,0.0
IRN,Asia,Iran,2020-01-30,,0.0,,0.0
IRN,Asia,Iran,2020-01-31,,0.0,,0.0
IRN,Asia,Iran,2020-02-01,,0.0,,0.0
IRN,Asia,Iran,2020-02-02,,0.0,,0.0
IRN,Asia,Iran,2020-02-03,,0.0,,0.0
IRN,Asia,Iran,2020-02-04,,0.0,,0.0
IRN,Asia,Iran,2020-02-05,,0.0,,0.0
IRN,Asia,Iran,2020-02-06,,0.0,,0.0
IRN,Asia,Iran,2020-02-07,,0.0,,0.0
IRN,Asia,Iran,2020-02-08,,0.0,,0.0
IRN,Asia,Iran,2020-02-09,,0.0,,0.0
IRN,Asia,Iran,2020-02-10,,0.0,,0.0
IRN,Asia,Iran,2020-02-11,,0.0,,0.0
IRN,Asia,Iran,2020-02-12,,0.0,,0.0
IRN,Asia,Iran,2020-02-13,,0.0,,0.0
IRN,Asia,Iran,2020-02-14,,0.0,,0.0
IRN,Asia,Iran,2020-02-15,,0.0,,0.0
IRN,Asia,Iran,2020-02-16,,0.0,,0.0
IRN,Asia,Iran,2020-02-17,,0.0,,0.0
IRN,Asia,Iran,2020-02-18,,0.0,,0.0
IRN,Asia,Iran,2020-02-19,,0.0,,0.0
IRN,Asia,Iran,2020-02-20,,0.0,,0.0
IRN,Asia,Iran,2020-02-21,5.0,5.0,2.0,2.0
IRN,Asia,Iran,2020-02-22,18.0,13.0,4.0,2.0
IRN,Asia,Iran,2020-02-23,28.0,10.0,5.0,1.0
IRN,Asia,Iran,2020-02-24,43.0,15.0,8.0,3.0
IRN,Asia,Iran,2020-02-25,63.0,20.0,12.0,4.0
IRN,Asia,Iran,2020-02-26,95.0,32.0,15.0,3.0
IRN,Asia,Iran,2020-02-27,139.0,44.0,19.0,4.0
IRN,Asia,Iran,2020-02-28,245.0,106.0,26.0,7.0
IRN,Asia,Iran,2020-02-29,388.0,143.0,34.0,8.0
IRN,Asia,Iran,2020-03-01,593.0,205.0,43.0,9.0
IRN,Asia,Iran,2020-03-02,978.0,385.0,54.0,11.0
IRN,Asia,Iran,2020-03-03,1501.0,523.0,66.0,12.0
IRN,Asia,Iran,2020-03-04,2336.0,835.0,77.0,11.0
IRN,Asia,Iran,2020-03-05,2922.0,586.0,92.0,15.0
IRN,Asia,Iran,2020-03-06,3513.0,591.0,107.0,15.0
IRN,Asia,Iran,2020-03-07,4747.0,1234.0,124.0,17.0
IRN,Asia,Iran,2020-03-08,5823.0,1076.0,145.0,21.0
IRN,Asia,Iran,2020-03-09,6566.0,743.0,194.0,49.0
IRN,Asia,Iran,2020-03-10,7161.0,595.0,238.0,44.0
IRN,Asia,Iran,2020-03-11,8042.0,881.0,292.0,54.0
IRN,Asia,Iran,2020-03-12,9000.0,958.0,356.0,64.0
IRN,Asia,Iran,2020-03-13,10075.0,1075.0,431.0,75.0
IRN,Asia,Iran,2020-03-14,11364.0,1289.0,516.0,85.0
IRN,Asia,Iran,2020-03-15,12729.0,1365.0,611.0,95.0
IRN,Asia,Iran,2020-03-16,13938.0,1209.0,724.0,113.0
IRN,Asia,Iran,2020-03-17,14991.0,1053.0,853.0,129.0
IRN,Asia,Iran,2020-03-18,16169.0,1178.0,988.0,135.0
IRN,Asia,Iran,2020-03-19,17361.0,1192.0,1135.0,147.0
IRN,Asia,Iran,2020-03-20,18407.0,1046.0,1284.0,149.0
IRN,Asia,Iran,2020-03-21,19644.0,1237.0,1433.0,149.0
IRN,Asia,Iran,2020-03-22,20610.0,966.0,1556.0,123.0
IRN,Asia,Iran,2020-03-23,21638.0,1028.0,1685.0,129.0
IRN,Asia,Iran,2020-03-24,23049.0,1411.0,1812.0,127.0
IRN,Asia,Iran,2020-03-25,24811.0,1762.0,1934.0,122.0
IRN,Asia,Iran,2020-03-26,27017.0,2206.0,2077.0,143.0
IRN,Asia,Iran,2020-03-27,29406.0,2389.0,2234.0,157.0
IRN,Asia,Iran,2020-03-28,32332.0,2926.0,2378.0,144.0
IRN,Asia,Iran,2020-03-29,35408.0,3076.0,2517.0,139.0
IRN,Asia,Iran,2020-03-30,38309.0,2901.0,2640.0,123.0
IRN,Asia,Iran,2020-03-31,41495.0,3186.0,2757.0,117.0
IRN,Asia,Iran,2020-04-01,44606.0,3111.0,2898.0,141.0
IRN,Asia,Iran,2020-04-02,47593.0,2987.0,3036.0,138.0
IRN,Asia,Iran,2020-04-03,50468.0,2875.0,3160.0,124.0
IRN,Asia,Iran,2020-04-04,53183.0,2715.0,3294.0,134.0
IRN,Asia,Iran,2020-04-05,55743.0,2560.0,3452.0,158.0
IRN,Asia,Iran,2020-04-06,58226.0,2483.0,3603.0,151.0
IRN,Asia,Iran,2020-04-07,60500.0,2274.0,3739.0,136.0
IRN,Asia,Iran,2020-04-08,62589.0,2089.0,3872.0,133.0
IRN,Asia,Iran,2020-04-09,64586.0,1997.0,3993.0,121.0
IRN,Asia,Iran,2020-04-10,66220.0,1634.0,4110.0,117.0
IRN,Asia,Iran,2020-04-11,68192.0,1972.0,4232.0,122.0
IRN,Asia,Iran,2020-04-12,70029.0,1837.0,4357.0,125.0
IRN,Asia,Iran,2020-04-13,71686.0,1657.0,4474.0,117.0
IRN,Asia,Iran,2020-04-14,73303.0,1617.0,4585.0,111.0
IRN,Asia,Iran,2020-04-15,74877.0,1574.0,4683.0,98.0
IRN,Asia,Iran,2020-04-16,76389.0,1512.0,4777.0,94.0
IRN,Asia,Iran,2020-04-17,77995.0,1606.0,4869.0,92.0
IRN,Asia,Iran,2020-04-18,79494.0,1499.0,4958.0,89.0
IRN,Asia,Iran,2020-04-19,80868.0,1374.0,5031.0,73.0
IRN,Asia,Iran,2020-04-20,82211.0,1343.0,5118.0,87.0
IRN,Asia,Iran,2020-04-21,83505.0,1294.0,5209.0,91.0
IRN,Asia,Iran,2020-04-22,84802.0,1297.0,5297.0,88.0
IRN,Asia,Iran,2020-04-23,85996.0,1194.0,5391.0,94.0
IRN,Asia,Iran,2020-04-24,87026.0,1030.0,5481.0,90.0
IRN,Asia,Iran,2020-04-25,88194.0,1168.0,5574.0,93.0
IRN,Asia,Iran,2020-04-26,89328.0,1134.0,5650.0,76.0
IRN,Asia,Iran,2020-04-27,90481.0,1153.0,5710.0,60.0
IRN,Asia,Iran,2020-04-28,91472.0,991.0,5806.0,96.0
IRN,Asia,Iran,2020-04-29,92584.0,1112.0,5877.0,71.0
IRN,Asia,Iran,2020-04-30,93657.0,1073.0,5957.0,80.0
IRN,Asia,Iran,2020-05-01,94640.0,983.0,6028.0,71.0
IRN,Asia,Iran,2020-05-02,95646.0,1006.0,6091.0,63.0
IRN,Asia,Iran,2020-05-03,96448.0,802.0,6156.0,65.0
