iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
MDA,Europe,Moldova,2020-01-05,,0.0,,0.0
MDA,Europe,Moldova,2020-01-12,,0.0,,0.0
MDA,Europe,Moldova,2020-01-19,,0.0,,0.0
MDA,Europe,Moldova,2020-01-26,,0.0,,0.0
MDA,Europe,Moldova,2020-02-02,,0.0,,0.0
MDA,Europe,Moldova,2020-02-09,,0.0,,0.0
MDA,Europe,Moldova,2020-02-16,,0.0,,0.0
MDA,Europe,Moldova,2020-02-23,,0.0,,0.0
MDA,Europe,Moldova,2020-03-01,,0.0,,0.0
MDA,Europe,Moldova,2020-03-08,1.0,1.0,,0.0
MDA,Europe,Moldova,2020-03-15,8.0,7.0,,0.0
MDA,Europe,Moldova,2020-03-22,80.0,72.0,1.0,1.0
MDA,Europe,Moldova,2020-03-24,,,,
MDA,Europe,Moldova,2020-03-25,,,,
MDA,Europe,Moldova,2020-03-26,,,,
MDA,Europe,Moldova,2020-03-27,,,,
MDA,Europe,Moldova,2020-03-28,,,,
MDA,Europe,Moldova,2020-03-29,231.0,151.0,2.0,1.0
MDA,Europe,Moldova,2020-03-30,,,,
MDA,Europe,Moldova,2020-03-31,,,,
MDA,Europe,Moldova,2020-04-01,,,,
MDA,Europe,Moldova,2020-04-02,,,,
MDA,Europe,Moldova,2020-04-03,,,,
MDA,Europe,Moldova,2020-04-04,,,,
MDA,Europe,Moldova,2020-04-05,752.0,521.0,12.0,10.0
MDA,Europe,Moldova,2020-04-06,,,,
MDA,Europe,Moldova,2020-04-07,,,,
MDA,Europe,Moldova,2020-04-08,,,,
MDA,Europe,Moldova,2020-04-09,,,,
MDA,Europe,Moldova,2020-04-10,,,,
MDA,Europe,Moldova,2020-04-11,,,,
MDA,Europe,Moldova,2020-04-12,1560.0,808.0,30.0,18.0
MDA,Europe,Moldova,2020-04-13,,,,
MDA,Europe,Moldova,2020-04-14,,,,
MDA,Europe,Moldova,2020-04-15,,,,
MDA,Europe,Moldova,2020-04-16,,,,
MDA,Europe,Moldova,2020-04-17,,,,
MDA,Europe,Moldova,2020-04-18,,,,
MDA,Europe,Moldova,2020-04-19,2351.0,791.0,60.0,30.0
MDA,Europe,Moldova,2020-04-20,,,,
MDA,Europe,Moldova,2020-04-21,,,,
MDA,Europe,Moldova,2020-04-22,,,,
MDA,Europe,Moldova,2020-04-23,,,,
MDA,Europe,Moldova,2020-04-24,,,,
MDA,Europe,Moldova,2020-04-25,,,,
MDA,Europe,Moldova,2020-04-26,3304.0,953.0,94.0,34.0
MDA,Europe,Moldova,2020-04-27,,,,
MDA,Europe,Moldova,2020-04-28,,,,
MDA,Europe,Moldova,2020-04-29,,,,
MDA,Europe,Moldova,2020-04-30,,,,
MDA,Europe,Moldova,2020-05-01,,,,
MDA,Europe,Moldova,2020-05-02,,,,
MDA,Europe,Moldova,2020-05-03,4052.0,748.0,124.0,30.0
MDA,Europe,Moldova,2020-05-04,,,,
MDA,Europe,Moldova,2020-05-05,,,,
MDA,Europe,Moldova,2020-05-06,,,,
MDA,Europe,Moldova,2020-05-07,,,,
MDA,Europe,Moldova,2020-05-08,,,,
MDA,Europe,Moldova,2020-05-09,,,,
MDA,Europe,Moldova,2020-05-10,4867.0,815.0,165.0,41.0
MDA,Europe,Moldova,2020-05-11,,,,
MDA,Europe,Moldova,2020-05-12,,,,
MDA,Europe,Moldova,2020-05-13,,,,
MDA,Europe,Moldova,2020-05-14,,,,
MDA,Europe,Moldova,2020-05-15,,,,
MDA,Europe,Moldova,2020-05-16,,,,
MDA,Europe,Moldova,2020-05-17,5934.0,1067.0,209.0,44.0
MDA,Europe,Moldova,2020-05-18,,,,
MDA,Europe,Moldova,2020-05-19,,,,
MDA,Europe,Moldova,2020-05-20,,,,
MDA,Europe,Moldova,2020-05-21,,,,
MDA,Europe,Moldova,2020-05-22,,,,
MDA,Europe,Moldova,2020-05-23,,,,
MDA,Europe,Moldova,2020-05-24,6994.0,1060.0,250.0,41.0
MDA,Europe,Moldova,2020-05-25,,,,
MDA,Europe,Moldova,2020-05-26,,,,
MDA,Europe,Moldova,2020-05-27,,,,
MDA,Europe,Moldova,2020-05-28,,,,
MDA,Europe,Moldova,2020-05-29,,,,
MDA,Europe,Moldova,2020-05-30,,,,
MDA,Europe,Moldova,2020-05-31,8098.0,1104.0,296.0,46.0
MDA,Europe,Moldova,2020-06-01,,,,
MDA,Europe,Moldova,2020-06-02,,,,
MDA,Europe,Moldova,2020-06-03,,,,
MDA,Europe,Moldova,2020-06-04,,,,
MDA,Europe,Moldova,2020-06-05,,,,
MDA,Europe,Moldova,2020-06-06,,,,
MDA,Europe,Moldova,2020-06-07,9511.0,1413.0,337.0,41.0
MDA,Europe,Moldova,2020-06-08,,,,
MDA,Europe,Moldova,2020-06-09,,,,
MDA,Europe,Moldova,2020-06-10,,,,
MDA,Europe,Moldova,2020-06-11,,,,
MDA,Europe,Moldova,2020-06-12,,,,
MDA,Europe,Moldova,2020-06-13,,,,
MDA,Europe,Moldova,2020-06-14,11459.0,1948.0,401.0,64.0
MDA,Europe,Moldova,2020-06-15,,,,
MDA,Europe,Moldova,2020-06-16,,,,
MDA,Europe,Moldova,2020-06-17,,,,
MDA,Europe,Moldova,2020-06-18,,,,
MDA,Europe,Moldova,2020-06-19,,,,
MDA,Europe,Moldova,2020-06-20,,,,
MDA,Europe,Moldova,2020-06-21,13953.0,2494.0,466.0,65.0
MDA,Europe,Moldova,2020-06-22,,,,
MDA,Europe,Moldova,2020-06-23,,,,
MDA,Europe,Moldova,2020-06-24,,,,
MDA,Europe,Moldova,2020-06-25,,,,
MDA,Europe,Moldova,2020-06-26,,,,
MDA,Europe,Moldova,2020-06-27,,,,
MDA,Europe,Moldova,2020-06-28,16080.0,2127.0,528.0,62.0
MDA,Europe,Moldova,2020-06-29,,,,
MDA,Europe,Moldova,2020-06-30,,,,
MDA,Europe,Moldova,2020-07-01,,,,
MDA,Europe,Moldova,2020-07-02,,,,
MDA,Europe,Moldova,2020-07-03,,,,
MDA,Europe,Moldova,2020-07-04,,,,
MDA,Europe,Moldova,2020-07-05,17672.0,1592.0,586.0,58.0
MDA,Europe,Moldova,2020-07-06,,,,
MDA,Europe,Moldova,2020-07-07,,,,
MDA,Europe,Moldova,2020-07-08,,,,
MDA,Europe,Moldova,2020-07-09,,,,
MDA,Europe,Moldova,2020-07-10,,,,
MDA,Europe,Moldova,2020-07-11,,,,
MDA,Europe,Moldova,2020-07-12,19208.0,1536.0,644.0,58.0
MDA,Europe,Moldova,2020-07-13,,,,
MDA,Europe,Moldova,2020-07-14,,,,
MDA,Europe,Moldova,2020-07-15,,,,
MDA,Europe,Moldova,2020-07-16,,,,
MDA,Europe,Moldova,2020-07-17,,,,
MDA,Europe,Moldova,2020-07-18,,,,
MDA,Europe,Moldova,2020-07-19,20794.0,1586.0,684.0,40.0
MDA,Europe,Moldova,2020-07-20,,,,
MDA,Europe,Moldova,2020-07-21,,,,
MDA,Europe,Moldova,2020-07-22,,,,
MDA,Europe,Moldova,2020-07-23,,,,
MDA,Europe,Moldova,2020-07-24,,,,
MDA,Europe,Moldova,2020-07-25,,,,
MDA,Europe,Moldova,2020-07-26,22828.0,2034.0,737.0,53.0
MDA,Europe,Moldova,2020-07-27,,,,
MDA,Europe,Moldova,2020-07-28,,,,
MDA,Europe,Moldova,2020-07-29,,,,
MDA,Europe,Moldova,2020-07-30,,,,
