iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
NIC,North America,Nicaragua,2020-01-05,,0.0,,0.0
NIC,North America,Nicaragua,2020-01-12,,0.0,,0.0
NIC,North America,Nicaragua,2020-01-19,,0.0,,0.0
NIC,North America,Nicaragua,2020-01-26,,0.0,,0.0
NIC,North America,Nicaragua,2020-02-02,,0.0,,0.0
NIC,North America,Nicaragua,2020-02-09,,0.0,,0.0
NIC,North America,Nicaragua,2020-02-16,,0.0,,0.0
NIC,North America,Nicaragua,2020-02-23,,0.0,,0.0
NIC,North America,Nicaragua,2020-03-01,,0.0,,0.0
NIC,North America,Nicaragua,2020-03-08,,0.0,,0.0
NIC,North America,Nicaragua,2020-03-15,,0.0,,0.0
NIC,North America,Nicaragua,2020-03-22,2.0,2.0,,0.0
NIC,North America,Nicaragua,2020-03-29,2.0,0.0,1.0,1.0
NIC,North America,Nicaragua,2020-04-05,5.0,3.0,1.0,0.0
NIC,North America,Nicaragua,2020-04-12,7.0,2.0,1.0,0.0
NIC,North America,Nicaragua,2020-04-19,9.0,2.0,1.0,0.0
NIC,North America,Nicaragua,2020-04-26,11.0,2.0,3.0,2.0
NIC,North America,Nicaragua,2020-05-03,14.0,3.0,4.0,1.0
NIC,North America,Nicaragua,2020-05-10,16.0,2.0,5.0,1.0
NIC,North America,Nicaragua,2020-05-17,25.0,9.0,8.0,3.0
NIC,North America,Nicaragua,2020-05-22,,,,
NIC,North America,Nicaragua,2020-05-23,,,,
NIC,North America,Nicaragua,2020-05-24,279.0,254.0,17.0,9.0
NIC,North America,Nicaragua,2020-05-25,,,,
NIC,North America,Nicaragua,2020-05-26,,,,
NIC,North America,Nicaragua,2020-05-27,,,,
NIC,North America,Nicaragua,2020-05-28,,,,
NIC,North America,Nicaragua,2020-05-29,,,,
NIC,North America,Nicaragua,2020-05-30,,,,
NIC,North America,Nicaragua,2020-05-31,885.0,606.0,35.0,18.0
NIC,North America,Nicaragua,2020-06-01,,,,
NIC,North America,Nicaragua,2020-06-02,,,,
NIC,North America,Nicaragua,2020-06-03,,,,
NIC,North America,Nicaragua,2020-06-04,,,,
NIC,North America,Nicaragua,2020-06-05,,,,
NIC,North America,Nicaragua,2020-06-06,,,,
NIC,North America,Nicaragua,2020-06-07,1309.0,424.0,46.0,11.0
NIC,North America,Nicaragua,2020-06-08,,,,
NIC,North America,Nicaragua,2020-06-09,,,,
NIC,North America,Nicaragua,2020-06-10,,,,
NIC,North America,Nicaragua,2020-06-11,,,,
NIC,North America,Nicaragua,2020-06-12,,,,
NIC,North America,Nicaragua,2020-06-13,,,,
NIC,North America,Nicaragua,2020-06-14,1655.0,346.0,55.0,9.0
NIC,North America,Nicaragua,2020-06-15,,,,
NIC,North America,Nicaragua,2020-06-16,,,,
NIC,North America,Nicaragua,2020-06-17,,,,
NIC,North America,Nicaragua,2020-06-18,,,,
NIC,North America,Nicaragua,2020-06-19,,,,
NIC,North America,Nicaragua,2020-06-20,,,,
NIC,North America,Nicaragua,2020-06-21,2014.0,359.0,64.0,9.0
NIC,North America,Nicaragua,2020-06-22,,,,
NIC,North America,Nicaragua,2020-06-23,,,,
NIC,North America,Nicaragua,2020-06-24,,,,
NIC,North America,Nicaragua,2020-06-25,,,,
NIC,North America,Nicaragua,2020-06-26,,,,
NIC,North America,Nicaragua,2020-06-27,,,,
NIC,North America,Nicaragua,2020-06-28,2014.0,0.0,74.0,10.0
NIC,North America,Nicaragua,2020-06-29,,,,
NIC,North America,Nicaragua,2020-06-30,,,,
NIC,North America,Nicaragua,2020-07-01,,,,
NIC,North America,Nicaragua,2020-07-02,,,,
NIC,North America,Nicaragua,2020-07-03,,,,
NIC,North America,Nicaragua,2020-07-04,,,,
NIC,North America,Nicaragua,2020-07-05,2182.0,168.0,83.0,9.0
NIC,North America,Nicaragua,2020-07-06,,,,
NIC,North America,Nicaragua,2020-07-07,,,,
NIC,North America,Nicaragua,2020-07-08,,,,
NIC,North America,Nicaragua,2020-07-09,,,,
NIC,North America,Nicaragua,2020-07-10,,,,
NIC,North America,Nicaragua,2020-07-11,,,,
NIC,North America,Nicaragua,2020-07-12,2411.0,229.0,91.0,8.0
NIC,North America,Nicaragua,2020-07-13,,,,
NIC,North America,Nicaragua,2020-07-14,,,,
NIC,North America,Nicaragua,2020-07-15,,,,
NIC,North America,Nicaragua,2020-07-16,,,,
