iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
PAN,North America,Panama,2020-01-05,,0.0,,0.0
PAN,North America,Panama,2020-01-12,,0.0,,0.0
PAN,North America,Panama,2020-01-19,,0.0,,0.0
PAN,North America,Panama,2020-01-26,,0.0,,0.0
PAN,North America,Panama,2020-02-02,,0.0,,0.0
PAN,North America,Panama,2020-02-09,,0.0,,0.0
PAN,North America,Panama,2020-02-16,,0.0,,0.0
PAN,North America,Panama,2020-02-23,,0.0,,0.0
PAN,North America,Panama,2020-03-01,,0.0,,0.0
PAN,North America,Panama,2020-03-08,,0.0,,0.0
PAN,North America,Panama,2020-03-09,,,,
PAN,North America,Panama,2020-03-10,,,,
PAN,North America,Panama,2020-03-11,,,,
PAN,North America,Panama,2020-03-12,,,,
PAN,North America,Panama,2020-03-13,,,,
PAN,North America,Panama,2020-03-14,,,,
PAN,North America,Panama,2020-03-15,27.0,27.0,1.0,1.0
PAN,North America,Panama,2020-03-16,,,,
PAN,North America,Panama,2020-03-17,,,,
PAN,North America,Panama,2020-03-18,,,,
PAN,North America,Panama,2020-03-19,,,,
PAN,North America,Panama,2020-03-20,,,,
PAN,North America,Panama,2020-03-21,,,,
PAN,North America,Panama,2020-03-22,137.0,110.0,1.0,0.0
PAN,North America,Panama,2020-03-23,,,,
PAN,North America,Panama,2020-03-24,,,,
PAN,North America,Panama,2020-03-25,,,,
PAN,North America,Panama,2020-03-26,,,,
PAN,North America,Panama,2020-03-27,,,,
PAN,North America,Panama,2020-03-28,,,,
PAN,North America,Panama,2020-03-29,786.0,649.0,14.0,13.0
PAN,North America,Panama,2020-03-30,,,,
PAN,North America,Panama,2020-03-31,,,,
PAN,North America,Panama,2020-04-01,,,,
PAN,North America,Panama,2020-04-02,,,,
PAN,North America,Panama,2020-04-03,,,,
PAN,North America,Panama,2020-04-04,,,,
PAN,North America,Panama,2020-04-05,1673.0,887.0,41.0,27.0
PAN,North America,Panama,2020-04-06,,,,
PAN,North America,Panama,2020-04-07,,,,
PAN,North America,Panama,2020-04-08,,,,
PAN,North America,Panama,2020-04-09,,,,
PAN,North America,Panama,2020-04-10,,,,
PAN,North America,Panama,2020-04-11,,,,
PAN,North America,Panama,2020-04-12,2974.0,1301.0,74.0,33.0
PAN,North America,Panama,2020-04-13,,,,
PAN,North America,Panama,2020-04-14,,,,
PAN,North America,Panama,2020-04-15,,,,
PAN,North America,Panama,2020-04-16,,,,
PAN,North America,Panama,2020-04-17,,,,
PAN,North America,Panama,2020-04-18,,,,
PAN,North America,Panama,2020-04-19,4210.0,1236.0,115.0,41.0
PAN,North America,Panama,2020-04-20,,,,
PAN,North America,Panama,2020-04-21,,,,
PAN,North America,Panama,2020-04-22,,,,
PAN,North America,Panama,2020-04-23,,,,
PAN,North America,Panama,2020-04-24,,,,
PAN,North America,Panama,2020-04-25,,,,
PAN,North America,Panama,2020-04-26,5338.0,1128.0,154.0,39.0
PAN,North America,Panama,2020-04-27,,,,
PAN,North America,Panama,2020-04-28,,,,
PAN,North America,Panama,2020-04-29,,,,
PAN,North America,Panama,2020-04-30,,,,
PAN,North America,Panama,2020-05-01,,,,
PAN,North America,Panama,2020-05-02,,,,
PAN,North America,Panama,2020-05-03,6720.0,1382.0,192.0,38.0
PAN,North America,Panama,2020-05-04,,,,
PAN,North America,Panama,2020-05-05,,,,
PAN,North America,Panama,2020-05-06,,,,
PAN,North America,Panama,2020-05-07,,,,
PAN,North America,Panama,2020-05-08,,,,
PAN,North America,Panama,2020-05-09,,,,
PAN,North America,Panama,2020-05-10,8070.0,1350.0,231.0,39.0
PAN,North America,Panama,2020-05-11,,,,
PAN,North America,Panama,2020-05-12,,,,
PAN,North America,Panama,2020-05-13,,,,
PAN,North America,Panama,2020-05-14,,,,
PAN,North America,Panama,2020-05-15,,,,
PAN,North America,Panama,2020-05-16,,,,
PAN,North America,Panama,2020-05-17,9268.0,1198.0,266.0,35.0
PAN,North America,Panama,2020-05-18,,,,
PAN,North America,Panama,2020-05-19,,,,
PAN,North America,Panama,2020-05-20,,,,
PAN,North America,Panama,2020-05-21,,,,
PAN,North America,Panama,2020-05-22,,,,
PAN,North America,Panama,2020-05-23,,,,
PAN,North America,Panama,2020-05-24,10267.0,999.0,295.0,29.0
PAN,North America,Panama,2020-05-25,,,,
PAN,North America,Panama,2020-05-26,,,,
PAN,North America,Panama,2020-05-27,,,,
PAN,North America,Panama,2020-05-28,,,,
PAN,North America,Panama,2020-05-29,,,,
PAN,North America,Panama,2020-05-30,,,,
PAN,North America,Panama,2020-05-31,12531.0,2264.0,326.0,31.0
PAN,North America,Panama,2020-06-01,,,,
PAN,North America,Panama,2020-06-02,,,,
PAN,North America,Panama,2020-06-03,,,,
PAN,North America,Panama,2020-06-04,,,,
PAN,North America,Panama,2020-06-05,,,,
PAN,North America,Panama,2020-06-06,,,,
PAN,North America,Panama,2020-06-07,15463.0,2932.0,370.0,44.0
PAN,North America,Panama,2020-06-08,,,,
PAN,North America,Panama,2020-06-09,,,,
PAN,North America,Panama,2020-06-10,,,,
PAN,North America,Panama,2020-06-11,,,,
PAN,North America,Panama,2020-06-12,,,,
PAN,North America,Panama,2020-06-13,,,,
PAN,North America,Panama,2020-06-14,19211.0,3748.0,421.0,51.0
PAN,North America,Panama,2020-06-15,,,,
PAN,North America,Panama,2020-06-16,,,,
PAN,North America,Panama,2020-06-17,,,,
PAN,North America,Panama,2020-06-18,,,,
PAN,North America,Panama,2020-06-19,,,,
PAN,North America,Panama,2020-06-20,,,,
PAN,North America,Panama,2020-06-21,24274.0,5063.0,485.0,64.0
PAN,North America,Panama,2020-06-22,,,,
PAN,North America,Panama,2020-06-23,,,,
PAN,North America,Panama,2020-06-24,,,,
PAN,North America,Panama,2020-06-25,,,,
PAN,North America,Panama,2020-06-26,,,,
PAN,North America,Panama,2020-06-27,,,,
PAN,North America,Panama,2020-06-28,29905.0,5631.0,575.0,90.0
PAN,North America,Panama,2020-06-29,,,,
