iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
SVK,Europe,Slovakia,2020-01-05,,0.0,,0.0
SVK,Europe,Slovakia,2020-01-12,,0.0,,0.0
SVK,Europe,Slovakia,2020-01-19,,0.0,,0.0
SVK,Europe,Slovakia,2020-01-26,,0.0,,0.0
SVK,Europe,Slovakia,2020-02-02,,0.0,,0.0
SVK,Europe,Slovakia,2020-02-09,,0.0,,0.0
SVK,Europe,Slovakia,2020-02-16,,0.0,,0.0
SVK,Europe,Slovakia,2020-02-23,,0.0,,0.0
SVK,Europe,Slovakia,2020-03-01,,0.0,,0.0
SVK,Europe,Slovakia,2020-03-06,,,,
SVK,Europe,Slovakia,2020-03-07,,,,
SVK,Europe,Slovakia,2020-03-08,3.0,3.0,,0.0
SVK,Europe,Slovakia,2020-03-09,,,,
SVK,Europe,Slovakia,2020-03-10,,,,
SVK,Europe,Slovakia,2020-03-11,,,,
SVK,Europe,Slovakia,2020-03-12,,,,
SVK,Europe,Slovakia,2020-03-13,,,,
SVK,Europe,Slovakia,2020-03-14,,,,
SVK,Europe,Slovakia,2020-03-15,44.0,41.0,,0.0
SVK,Europe,Slovakia,2020-03-16,,,,
SVK,Europe,Slovakia,2020-03-17,,,,
SVK,Europe,Slovakia,2020-03-18,,,,
SVK,Europe,Slovakia,2020-03-19,,,,
SVK,Europe,Slovakia,2020-03-20,,,,
SVK,Europe,Slovakia,2020-03-21,,,,
SVK,Europe,Slovakia,2020-03-22,178.0,134.0,,0.0
SVK,Europe,Slovakia,2020-03-23,,,,
SVK,Europe,Slovakia,2020-03-24,,,,
SVK,Europe,Slovakia,2020-03-25,,,,
SVK,Europe,Slovakia,2020-03-26,,,,
SVK,Europe,Slovakia,2020-03-27,,,,
SVK,Europe,Slovakia,2020-03-28,,,,
SVK,Europe,Slovakia,2020-03-29,314.0,136.0,,0.0
SVK,Europe,Slovakia,2020-03-30,,,,
SVK,Europe,Slovakia,2020-03-31,,,,
SVK,Europe,Slovakia,2020-04-01,,,,
SVK,Europe,Slovakia,2020-04-02,,,,
SVK,Europe,Slovakia,2020-04-03,,,,
SVK,Europe,Slovakia,2020-04-04,,,,
SVK,Europe,Slovakia,2020-04-05,485.0,171.0,1.0,1.0
