iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
SSD,Africa,South Sudan,2020-01-05,,0.0,,0.0
SSD,Africa,South Sudan,2020-01-12,,0.0,,0.0
SSD,Africa,South Sudan,2020-01-19,,0.0,,0.0
SSD,Africa,South Sudan,2020-01-26,,0.0,,0.0
SSD,Africa,South Sudan,2020-02-02,,0.0,,0.0
SSD,Africa,South Sudan,2020-02-09,,0.0,,0.0
SSD,Africa,South Sudan,2020-02-16,,0.0,,0.0
SSD,Africa,South Sudan,2020-02-23,,0.0,,0.0
SSD,Africa,South Sudan,2020-03-01,,0.0,,0.0
SSD,Africa,South Sudan,2020-03-08,,0.0,,0.0
SSD,Africa,South Sudan,2020-03-15,,0.0,,0.0
SSD,Africa,South Sudan,2020-03-22,,0.0,,0.0
SSD,Africa,South Sudan,2020-03-29,,0.0,,0.0
SSD,Africa,South Sudan,2020-04-05,,0.0,,0.0
SSD,Africa,South Sudan,2020-04-12,4.0,4.0,,0.0
SSD,Africa,South Sudan,2020-04-19,4.0,0.0,,0.0
SSD,Africa,South Sudan,2020-04-26,6.0,2.0,,0.0
SSD,Africa,South Sudan,2020-05-03,46.0,40.0,,0.0
SSD,Africa,South Sudan,2020-05-09,,,,
SSD,Africa,South Sudan,2020-05-10,120.0,74.0,,0.0
SSD,Africa,South Sudan,2020-05-11,,,,
SSD,Africa,South Sudan,2020-05-12,,,,
SSD,Africa,South Sudan,2020-05-13,,,,
SSD,Africa,South Sudan,2020-05-14,,,,
SSD,Africa,South Sudan,2020-05-15,,,,
SSD,Africa,South Sudan,2020-05-16,,,,
SSD,Africa,South Sudan,2020-05-17,285.0,165.0,6.0,6.0
SSD,Africa,South Sudan,2020-05-18,,,,
SSD,Africa,South Sudan,2020-05-19,,,,
SSD,Africa,South Sudan,2020-05-20,,,,
SSD,Africa,South Sudan,2020-05-21,,,,
SSD,Africa,South Sudan,2020-05-22,,,,
SSD,Africa,South Sudan,2020-05-23,,,,
SSD,Africa,South Sudan,2020-05-24,655.0,370.0,10.0,4.0
SSD,Africa,South Sudan,2020-05-25,,,,
SSD,Africa,South Sudan,2020-05-26,,,,
SSD,Africa,South Sudan,2020-05-27,,,,
SSD,Africa,South Sudan,2020-05-28,,,,
SSD,Africa,South Sudan,2020-05-29,,,,
SSD,Africa,South Sudan,2020-05-30,,,,
SSD,Africa,South Sudan,2020-05-31,1147.0,492.0,14.0,4.0
SSD,Africa,South Sudan,2020-06-01,,,,
SSD,Africa,South Sudan,2020-06-02,,,,
SSD,Africa,South Sudan,2020-06-03,,,,
SSD,Africa,South Sudan,2020-06-04,,,,
SSD,Africa,South Sudan,2020-06-05,,,,
SSD,Africa,South Sudan,2020-06-06,,,,
SSD,Africa,South Sudan,2020-06-07,1473.0,326.0,22.0,8.0
SSD,Africa,South Sudan,2020-06-08,,,,
SSD,Africa,South Sudan,2020-06-09,,,,
SSD,Africa,South Sudan,2020-06-10,,,,
SSD,Africa,South Sudan,2020-06-11,,,,
SSD,Africa,South Sudan,2020-06-12,,,,
SSD,Africa,South Sudan,2020-06-13,,,,
SSD,Africa,South Sudan,2020-06-14,1693.0,220.0,29.0,7.0
SSD,Africa,South Sudan,2020-06-15,,,,
SSD,Africa,South Sudan,2020-06-16,,,,
SSD,Africa,South Sudan,2020-06-17,,,,
SSD,Africa,South Sudan,2020-06-18,,,,
SSD,Africa,South Sudan,2020-06-19,,,,
SSD,Africa,South Sudan,2020-06-20,,,,
SSD,Africa,South Sudan,2020-06-21,1882.0,189.0,36.0,7.0
SSD,Africa,South Sudan,2020-06-22,,,,
SSD,Africa,South Sudan,2020-06-23,,,,
SSD,Africa,South Sudan,2020-06-24,,,,
SSD,Africa,South Sudan,2020-06-25,,,,
SSD,Africa,South Sudan,2020-06-26,,,,
SSD,Africa,South Sudan,2020-06-27,,,,
SSD,Africa,South Sudan,2020-06-28,1966.0,84.0,38.0,2.0
SSD,Africa,South Sudan,2020-06-29,,,,
SSD,Africa,South Sudan,2020-06-30,,,,
SSD,Africa,South Sudan,2020-07-01,,,,
SSD,Africa,South Sudan,2020-07-02,,,,
SSD,Africa,South Sudan,2020-07-03,,,,
SSD,Africa,South Sudan,2020-07-04,,,,
SSD,Africa,South Sudan,2020-07-05,2065.0,99.0,42.0,4.0
SSD,Africa,South Sudan,2020-07-06,,,,
SSD,Africa,South Sudan,2020-07-07,,,,
SSD,Africa,South Sudan,2020-07-08,,,,
SSD,Africa,South Sudan,2020-07-09,,,,
SSD,Africa,South Sudan,2020-07-10,,,,
SSD,Africa,South Sudan,2020-07-11,,,,
SSD,Africa,South Sudan,2020-07-12,2145.0,80.0,43.0,1.0
SSD,Africa,South Sudan,2020-07-13,,,,
SSD,Africa,South Sudan,2020-07-14,,,,
SSD,Africa,South Sudan,2020-07-15,,,,
SSD,Africa,South Sudan,2020-07-16,,,,
SSD,Africa,South Sudan,2020-07-17,,,,
SSD,Africa,South Sudan,2020-07-18,,,,
SSD,Africa,South Sudan,2020-07-19,2200.0,55.0,45.0,2.0
SSD,Africa,South Sudan,2020-07-20,,,,
SSD,Africa,South Sudan,2020-07-21,,,,
SSD,Africa,South Sudan,2020-07-22,,,,
SSD,Africa,South Sudan,2020-07-23,,,,
SSD,Africa,South Sudan,2020-07-24,,,,
SSD,Africa,South Sudan,2020-07-25,,,,
SSD,Africa,South Sudan,2020-07-26,2286.0,86.0,47.0,2.0
SSD,Africa,South Sudan,2020-07-27,,,,
SSD,Africa,South Sudan,2020-07-28,,,,
SSD,Africa,South Sudan,2020-07-29,,,,
SSD,Africa,South Sudan,2020-07-30,,,,
SSD,Africa,South Sudan,2020-07-31,,,,
SSD,Africa,South Sudan,2020-08-01,,,,
SSD,Africa,South Sudan,2020-08-02,2429.0,143.0,48.0,1.0
SSD,Africa,South Sudan,2020-08-03,,,,
SSD,Africa,South Sudan,2020-08-04,,,,
