iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
UGA,Africa,Uganda,2020-01-05,,0.0,,0.0
UGA,Africa,Uganda,2020-01-12,,0.0,,0.0
UGA,Africa,Uganda,2020-01-19,,0.0,,0.0
UGA,Africa,Uganda,2020-01-26,,0.0,,0.0
UGA,Africa,Uganda,2020-02-02,,0.0,,0.0
UGA,Africa,Uganda,2020-02-09,,0.0,,0.0
UGA,Africa,Uganda,2020-02-16,,0.0,,0.0
UGA,Africa,Uganda,2020-02-23,,0.0,,0.0
UGA,Africa,Uganda,2020-03-01,,0.0,,0.0
UGA,Africa,Uganda,2020-03-08,,0.0,,0.0
UGA,Africa,Uganda,2020-03-15,,0.0,,0.0
UGA,Africa,Uganda,2020-03-22,1.0,1.0,,0.0
UGA,Africa,Uganda,2020-03-29,27.0,26.0,,0.0
UGA,Africa,Uganda,2020-04-01,,,,
UGA,Africa,Uganda,2020-04-02,,,,
UGA,Africa,Uganda,2020-04-03,,,,
UGA,Africa,Uganda,2020-04-04,,,,
UGA,Africa,Uganda,2020-04-05,43.0,16.0,,0.0
UGA,Africa,Uganda,2020-04-06,,,,
UGA,Africa,Uganda,2020-04-07,,,,
UGA,Africa,Uganda,2020-04-08,,,,
UGA,Africa,Uganda,2020-04-09,,,,
UGA,Africa,Uganda,2020-04-10,,,,
UGA,Africa,Uganda,2020-04-11,,,,
UGA,Africa,Uganda,2020-04-12,48.0,5.0,,0.0
UGA,Africa,Uganda,2020-04-13,,,,
UGA,Africa,Uganda,2020-04-14,,,,
UGA,Africa,Uganda,2020-04-15,,,,
UGA,Africa,Uganda,2020-04-16,,,,
UGA,Africa,Uganda,2020-04-17,,,,
UGA,Africa,Uganda,2020-04-18,,,,
UGA,Africa,Uganda,2020-04-19,50.0,2.0,,0.0
UGA,Africa,Uganda,2020-04-20,,,,
UGA,Africa,Uganda,2020-04-21,,,,
UGA,Africa,Uganda,2020-04-22,,,,
UGA,Africa,Uganda,2020-04-23,,,,
UGA,Africa,Uganda,2020-04-24,,,,
UGA,Africa,Uganda,2020-04-25,,,,
UGA,Africa,Uganda,2020-04-26,51.0,1.0,,0.0
UGA,Africa,Uganda,2020-04-27,,,,
UGA,Africa,Uganda,2020-04-28,,,,
UGA,Africa,Uganda,2020-04-29,,,,
UGA,Africa,Uganda,2020-04-30,,,,
UGA,Africa,Uganda,2020-05-01,,,,
UGA,Africa,Uganda,2020-05-02,,,,
UGA,Africa,Uganda,2020-05-03,54.0,3.0,,0.0
UGA,Africa,Uganda,2020-05-04,,,,
UGA,Africa,Uganda,2020-05-05,,,,
UGA,Africa,Uganda,2020-05-06,,,,
UGA,Africa,Uganda,2020-05-07,,,,
UGA,Africa,Uganda,2020-05-08,,,,
UGA,Africa,Uganda,2020-05-09,,,,
UGA,Africa,Uganda,2020-05-10,61.0,7.0,,0.0
UGA,Africa,Uganda,2020-05-11,,,,
UGA,Africa,Uganda,2020-05-12,,,,
UGA,Africa,Uganda,2020-05-13,,,,
UGA,Africa,Uganda,2020-05-14,,,,
UGA,Africa,Uganda,2020-05-15,,,,
UGA,Africa,Uganda,2020-05-16,,,,
UGA,Africa,Uganda,2020-05-17,98.0,37.0,,0.0
UGA,Africa,Uganda,2020-05-18,,,,
UGA,Africa,Uganda,2020-05-19,,,,
UGA,Africa,Uganda,2020-05-20,,,,
UGA,Africa,Uganda,2020-05-21,,,,
UGA,Africa,Uganda,2020-05-22,,,,
UGA,Africa,Uganda,2020-05-23,,,,
UGA,Africa,Uganda,2020-05-24,198.0,100.0,,0.0
UGA,Africa,Uganda,2020-05-25,,,,
