iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
USA,North America,United States,2020-01-05,,0.0,,0.0
USA,North America,United States,2020-01-06,,0.0,,0.0
USA,North America,United States,2020-01-07,,0.0,,0.0
USA,North America,United States,2020-01-08,,0.0,,0.0
USA,North America,United States,2020-01-09,,0.0,,0.0
USA,North America,United States,2020-01-10,,0.0,,0.0
USA,North America,United States,2020-01-11,,0.0,,0.0
USA,North America,United States,2020-01-12,,0.0,,0.0
USA,North America,United States,2020-01-13,,0.0,,0.0
USA,North America,United States,2020-01-14,,0.0,,0.0
USA,North America,United States,2020-01-15,,0.0,,0.0
USA,North America,United States,2020-01-16,,0.0,,0.0
USA,North America,United States,2020-01-17,,0.0,,0.0
USA,North America,United States,2020-01-18,,0.0,,0.0
USA,North America,United States,2020-01-19,,0.0,,0.0
USA,North America,United States,2020-01-20,,0.0,,0.0
USA,North America,United States,2020-01-21,,0.0,,0.0
USA,North America,United States,2020-01-22,,0.0,,0.0
USA,North America,United States,2020-01-23,,0.0,,0.0
USA,North America,United States,2020-01-24,,0.0,,0.0
USA,North America,United States,2020-01-25,,0.0,,0.0
USA,North America,United States,2020-01-26,7.0,7.0,,0.0
USA,North America,United States,2020-01-27,7.0,0.0,,0.0
USA,North America,United States,2020-01-28,7.0,0.0,,0.0
USA,North America,United States,2020-01-29,7.0,0.0,,0.0
USA,North America,United States,2020-01-30,7.0,0.0,,0.0
USA,North America,United States,2020-01-31,7.0,0.0,,0.0
USA,North America,United States,2020-02-01,7.0,0.0,,0.0
USA,North America,United States,2020-02-02,9.0,2.0,,0.0
USA,North America,United States,2020-02-03,9.0,0.0,,0.0
USA,North America,United States,2020-02-04,9.0,0.0,,0.0
USA,North America,United States,2020-02-05,9.0,0.0,,0.0
USA,North America,United States,2020-02-06,9.0,0.0,,0.0
USA,North America,United States,2020-02-07,9.0,0.0,,0.0
USA,North America,United States,2020-02-08,9.0,0.0,,0.0
USA,North America,United States,2020-02-09,20.0,11.0,,0.0
USA,North America,United States,2020-02-10,20.0,0.0,,0.0
USA,North America,United States,2020-02-11,20.0,0.0,,0.0
USA,North America,United States,2020-02-12,20.0,0.0,,0.0
USA,North America,United States,2020-02-13,20.0,0.0,,0.0
