iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths
YEM,Asia,Yemen,2020-01-05,,0.0,,0.0
YEM,Asia,Yemen,2020-01-12,,0.0,,0.0
YEM,Asia,Yemen,2020-01-19,,0.0,,0.0
YEM,Asia,Yemen,2020-01-26,,0.0,,0.0
YEM,Asia,Yemen,2020-02-02,,0.0,,0.0
YEM,Asia,Yemen,2020-02-09,,0.0,,0.0
YEM,Asia,Yemen,2020-02-16,,0.0,,0.0
YEM,Asia,Yemen,2020-02-23,,0.0,,0.0
YEM,Asia,Yemen,2020-03-01,,0.0,,0.0
YEM,Asia,Yemen,2020-03-08,,0.0,,0.0
YEM,Asia,Yemen,2020-03-15,,0.0,,0.0
YEM,Asia,Yemen,2020-03-22,,0.0,,0.0
YEM,Asia,Yemen,2020-03-29,,0.0,,0.0
YEM,Asia,Yemen,2020-04-05,,0.0,,0.0
YEM,Asia,Yemen,2020-04-12,1.0,1.0,,0.0
YEM,Asia,Yemen,2020-04-19,1.0,0.0,,0.0
YEM,Asia,Yemen,2020-04-26,1.0,0.0,,0.0
YEM,Asia,Yemen,2020-05-03,10.0,9.0,2.0,2.0
YEM,Asia,Yemen,2020-05-10,34.0,24.0,8.0,6.0
YEM,Asia,Yemen,2020-05-16,,,,
YEM,Asia,Yemen,2020-05-17,122.0,88.0,18.0,10.0
YEM,Asia,Yemen,2020-05-18,,,,
YEM,Asia,Yemen,2020-05-19,,,,
YEM,Asia,Yemen,2020-05-20,,,,
YEM,Asia,Yemen,2020-05-21,,,,
YEM,Asia,Yemen,2020-05-22,,,,
YEM,Asia,Yemen,2020-05-23,,,,
YEM,Asia,Yemen,2020-05-24,212.0,90.0,39.0,21.0
YEM,Asia,Yemen,2020-05-25,,,,
YEM,Asia,Yemen,2020-05-26,,,,
YEM,Asia,Yemen,2020-05-27,,,,
YEM,Asia,Yemen,2020-05-28,,,,
YEM,Asia,Yemen,2020-05-29,,,,
YEM,Asia,Yemen,2020-05-30,,,,
YEM,Asia,Yemen,2020-05-31,310.0,98.0,77.0,38.0
YEM,Asia,Yemen,2020-06-01,,,,
YEM,Asia,Yemen,2020-06-02,,,,
YEM,Asia,Yemen,2020-06-03,,,,
YEM,Asia,Yemen,2020-06-04,,,,
YEM,Asia,Yemen,2020-06-05,,,,
YEM,Asia,Yemen,2020-06-06,,,,
YEM,Asia,Yemen,2020-06-07,482.0,172.0,111.0,34.0
YEM,Asia,Yemen,2020-06-08,,,,
YEM,Asia,Yemen,2020-06-09,,,,
YEM,Asia,Yemen,2020-06-10,,,,
YEM,Asia,Yemen,2020-06-11,,,,
YEM,Asia,Yemen,2020-06-12,,,,
YEM,Asia,Yemen,2020-06-13,,,,
YEM,Asia,Yemen,2020-06-14,705.0,223.0,160.0,49.0
YEM,Asia,Yemen,2020-06-15,,,,
YEM,Asia,Yemen,2020-06-16,,,,
YEM,Asia,Yemen,2020-06-17,,,,
YEM,Asia,Yemen,2020-06-18,,,,
YEM,Asia,Yemen,2020-06-19,,,,
YEM,Asia,Yemen,2020-06-20,,,,
YEM,Asia,Yemen,2020-06-21,922.0,217.0,254.0,94.0
YEM,Asia,Yemen,2020-06-22,,,,
YEM,Asia,Yemen,2020-06-23,,,,
YEM,Asia,Yemen,2020-06-24,,,,
YEM,Asia,Yemen,2020-06-25,,,,
YEM,Asia,Yemen,2020-06-26,,,,
YEM,Asia,Yemen,2020-06-27,,,,
YEM,Asia,Yemen,2020-06-28,1103.0,181.0,296.0,42.0
YEM,Asia,Yemen,2020-06-29,,,,
YEM,Asia,Yemen,2020-06-30,,,,
YEM,Asia,Yemen,2020-07-01,,,,
