CountryName,CountryCode,RegionName,RegionCode,Date,ConfirmedCases,ConfirmedDeaths,PopulationVaccinated
Peru,PER,,,20200101,,,
Peru,PER,,,20200102,,,
Peru,PER,,,20200103,,,
Peru,PER,,,20200104,,,
Peru,PER,,,20200105,,,
Peru,PER,,,20200106,,,
Peru,PER,,,20200107,,,
Peru,PER,,,20200108,,,
Peru,PER,,,20200109,,,
Peru,PER,,,20200110,,,
Peru,PER,,,20200111,,,
Peru,PER,,,20200112,,,
Peru,PER,,,20200113,,,
Peru,PER,,,20200114,,,
Peru,PER,,,20200115,,,
Peru,PER,,,20200116,,,
Peru,PER,,,20200117,,,
Peru,PER,,,20200118,,,
Peru,PER,,,20200119,,,
Peru,PER,,,20200120,,,
Peru,PER,,,20200121,,,
Peru,PER,,,20200122,0.0,0.0,0.0
Peru,PER,,,20200123,0.0,0.0,0.0
Peru,PER,,,20200124,0.0,0.0,0.0
Peru,PER,,,20200125,0.0,0.0,0.0
Peru,PER,,,20200126,0.0,0.0,0.0
Peru,PER,,,20200127,0.0,0.0,0.0
Peru,PER,,,20200128,0.0,0.0,0.0
Peru,PER,,,20200129,0.0,0.0,0.0
Peru,PER,,,20200130,0.0,0.0,0.0
Peru,PER,,,20200131,0.0,0.0,0.0
Peru,PER,,,20200201,0.0,0.0,0.0
Peru,PER,,,20200202,0.0,0.0,0.0
Peru,PER,,,20200203,0.0,0.0,0.0
Peru,PER,,,20200204,0.0,0.0,0.0
Peru,PER,,,20200205,0.0,0.0,0.0
Peru,PER,,,20200206,0.0,0.0,0.0
Peru,PER,,,20200207,0.0,0.0,0.0
Peru,PER,,,20200208,0.0,0.0,0.0
Peru,PER,,,20200209,0.0,0.0,0.0
Peru,PER,,,20200210,0.0,0.0,0.0
Peru,PER,,,20200211,0.0,0.0,0.0
Peru,PER,,,20200212,0.0,0.0,0.0
Peru,PER,,,20200213,0.0,0.0,0.0
Peru,PER,,,20200214,0.0,0.0,0.0
Peru,PER,,,20200215,0.0,0.0,0.0
Peru,PER,,,20200216,0.0,0.0,0.0
Peru,PER,,,20200217,0.0,0.0,0.0
Peru,PER,,,20200218,0.0,0.0,0.0
Peru,PER,,,20200219,0.0,0.0,0.0
Peru,PER,,,20200220,0.0,0.0,0.0
Peru,PER,,,20200221,0.0,0.0,0.0
Peru,PER,,,20200222,0.0,0.0,0.0
Peru,PER,,,20200223,0.0,0.0,0.0
Peru,PER,,,20200224,0.0,0.0,0.0
Peru,PER,,,20200225,0.0,0.0,0.0
Peru,PER,,,20200226,0.0,0.0,0.0
Peru,PER,,,20200227,0.0,0.0,0.0
Peru,PER,,,20200228,0.0,0.0,0.0
Peru,PER,,,20200229,0.0,0.0,0.0
Peru,PER,,,20200301,0.0,0.0,0.0
Peru,PER,,,20200302,0.0,0.0,0.0
Peru,PER,,,20200303,0.0,0.0,0.0
Peru,PER,,,20200304,0.0,0.0,0.0
Peru,PER,,,20200305,0.0,0.0,0.0
Peru,PER,,,20200306,1.0,1.0,0.0
Peru,PER,,,20200307,1.0,1.0,0.0
Peru,PER,,,20200308,6.0,2.0,0.0
Peru,PER,,,20200309,7.0,2.0,0.0
Peru,PER,,,20200310,11.0,2.0,0.0
Peru,PER,,,20200311,11.0,2.0,0.0
Peru,PER,,,20200312,15.0,3.0,0.0
Peru,PER,,,20200313,28.0,3.0,0.0
Peru,PER,,,20200314,38.0,3.0,0.0
Peru,PER,,,20200315,43.0,5.0,0.0
Peru,PER,,,20200316,86.0,5.0,0.0
Peru,PER,,,20200317,117.0,9.0,0.0
Peru,PER,,,20200318,145.0,15.0,0.0
Peru,PER,,,20200319,234.0,20.0,0.0
Peru,PER,,,20200320,234.0,26.0,0.0
Peru,PER,,,20200321,318.0,30.0,0.0
Peru,PER,,,20200322,363.0,34.0,0.0
Peru,PER,,,20200323,395.0,39.0,0.0
Peru,PER,,,20200324,416.0,45.0,0.0
Peru,PER,,,20200325,480.0,57.0,0.0
Peru,PER,,,20200326,580.0,63.0,0.0
Peru,PER,,,20200327,635.0,71.0,0.0
Peru,PER,,,20200328,671.0,86.0,0.0
Peru,PER,,,20200329,852.0,95.0,0.0
Peru,PER,,,20200330,950.0,113.0,0.0
Peru,PER,,,20200331,1065.0,138.0,0.0
Peru,PER,,,20200401,1323.0,161.0,0.0
Peru,PER,,,20200402,1414.0,183.0,0.0
Peru,PER,,,20200403,1595.0,209.0,0.0
Peru,PER,,,20200404,1746.0,258.0,0.0
Peru,PER,,,20200405,2281.0,317.0,0.0
Peru,PER,,,20200406,2561.0,360.0,0.0
Peru,PER,,,20200407,2954.0,423.0,0.0
Peru,PER,,,20200408,4342.0,471.0,0.0
Peru,PER,,,20200409,5256.0,569.0,0.0
Peru,PER,,,20200410,5897.0,650.0,0.0
Peru,PER,,,20200411,6848.0,753.0,0.0
Peru,PER,,,20200412,7519.0,846.0,0.0
Peru,PER,,,20200413,9784.0,952.0,0.0
Peru,PER,,,20200414,10303.0,1061.0,0.0
Peru,PER,,,20200415,11475.0,1200.0,0.0
Peru,PER,,,20200416,12491.0,1333.0,0.0
Peru,PER,,,20200417,13489.0,1490.0,0.0
Peru,PER,,,20200418,14420.0,1628.0,0.0
Peru,PER,,,20200419,15628.0,1786.0,0.0
Peru,PER,,,20200420,16325.0,1990.0,0.0
Peru,PER,,,20200421,17837.0,2199.0,0.0
Peru,PER,,,20200422,19250.0,2418.0,0.0
Peru,PER,,,20200423,20914.0,2664.0,0.0
Peru,PER,,,20200424,21648.0,2910.0,0.0
Peru,PER,,,20200425,25331.0,3198.0,0.0
Peru,PER,,,20200426,27517.0,3488.0,0.0
Peru,PER,,,20200427,28699.0,3793.0,0.0
Peru,PER,,,20200428,31190.0,4106.0,0.0
Peru,PER,,,20200429,33931.0,4450.0,0.0
Peru,PER,,,20200430,36976.0,4782.0,0.0
Peru,PER,,,20200501,40459.0,5181.0,0.0
Peru,PER,,,20200502,42534.0,5589.0,0.0
Peru,PER,,,20200503,45928.0,6004.0,0.0
Peru,PER,,,20200504,47372.0,6442.0,0.0
Peru,PER,,,20200505,51189.0,6871.0,0.0
Peru,PER,,,20200506,54817.0,7328.0,0.0
Peru,PER,,,20200507,58526.0,7809.0,0.0
Peru,PER,,,20200508,61847.0,8263.0,0.0
Peru,PER,,,20200509,65015.0,8740.0,0.0
Peru,PER,,,20200510,67307.0,9258.0,0.0
Peru,PER,,,20200511,68822.0,9778.0,0.0
