CountryName,CountryCode,RegionName,RegionCode,Date,ConfirmedCases,ConfirmedDeaths,PopulationVaccinated
United Arab Emirates,ARE,,,20200101,,,
United Arab Emirates,ARE,,,20200102,,,
United Arab Emirates,ARE,,,20200103,,,
United Arab Emirates,ARE,,,20200104,,,
United Arab Emirates,ARE,,,20200105,,,
United Arab Emirates,ARE,,,20200106,,,
United Arab Emirates,ARE,,,20200107,,,
United Arab Emirates,ARE,,,20200108,,,
United Arab Emirates,ARE,,,20200109,,,
United Arab Emirates,ARE,,,20200110,,,
United Arab Emirates,ARE,,,20200111,,,
United Arab Emirates,ARE,,,20200112,,,
United Arab Emirates,ARE,,,20200113,,,
United Arab Emirates,ARE,,,20200114,,,
United Arab Emirates,ARE,,,20200115,,,
United Arab Emirates,ARE,,,20200116,,,
United Arab Emirates,ARE,,,20200117,,,
United Arab Emirates,ARE,,,20200118,,,
United Arab Emirates,ARE,,,20200119,,,
United Arab Emirates,ARE,,,20200120,,,
United Arab Emirates,ARE,,,20200121,,,
United Arab Emirates,ARE,,,20200122,0.0,0.0,0.0
United Arab Emirates,ARE,,,20200123,0.0,0.0,0.0
United Arab Emirates,ARE,,,20200124,0.0,0.0,0.0
United Arab Emirates,ARE,,,20200125,0.0,0.0,0.0
United Arab Emirates,ARE,,,20200126,0.0,0.0,0.0
United Arab Emirates,ARE,,,20200127,0.0,0.0,0.0
United Arab Emirates,ARE,,,20200128,0.0,0.0,0.0
United Arab Emirates,ARE,,,20200129,4.0,0.0,0.0
United Arab Emirates,ARE,,,20200130,4.0,0.0,0.0
United Arab Emirates,ARE,,,20200131,4.0,0.0,0.0
United Arab Emirates,ARE,,,20200201,4.0,0.0,0.0
United Arab Emirates,ARE,,,20200202,5.0,0.0,0.0
United Arab Emirates,ARE,,,20200203,5.0,0.0,0.0
United Arab Emirates,ARE,,,20200204,5.0,0.0,0.0
United Arab Emirates,ARE,,,20200205,5.0,0.0,0.0
United Arab Emirates,ARE,,,20200206,5.0,0.0,0.0
United Arab Emirates,ARE,,,20200207,5.0,0.0,0.0
United Arab Emirates,ARE,,,20200208,7.0,0.0,0.0
United Arab Emirates,ARE,,,20200209,7.0,0.0,0.0
United Arab Emirates,ARE,,,20200210,8.0,0.0,0.0
United Arab Emirates,ARE,,,20200211,8.0,0.0,0.0
United Arab Emirates,ARE,,,20200212,8.0,0.0,0.0
United Arab Emirates,ARE,,,20200213,8.0,0.0,0.0
United Arab Emirates,ARE,,,20200214,8.0,0.0,0.0
United Arab Emirates,ARE,,,20200215,8.0,0.0,0.0
United Arab Emirates,ARE,,,20200216,9.0,0.0,0.0
United Arab Emirates,ARE,,,20200217,9.0,0.0,0.0
United Arab Emirates,ARE,,,20200218,9.0,0.0,0.0
United Arab Emirates,ARE,,,20200219,9.0,0.0,0.0
United Arab Emirates,ARE,,,20200220,9.0,0.0,0.0
United Arab Emirates,ARE,,,20200221,9.0,0.0,0.0
United Arab Emirates,ARE,,,20200222,13.0,0.0,0.0
United Arab Emirates,ARE,,,20200223,13.0,0.0,0.0
United Arab Emirates,ARE,,,20200224,13.0,0.0,0.0
United Arab Emirates,ARE,,,20200225,13.0,0.0,0.0
United Arab Emirates,ARE,,,20200226,13.0,0.0,0.0
United Arab Emirates,ARE,,,20200227,13.0,0.0,0.0
United Arab Emirates,ARE,,,20200228,19.0,0.0,0.0
United Arab Emirates,ARE,,,20200229,21.0,0.0,0.0
United Arab Emirates,ARE,,,20200301,21.0,0.0,0.0
United Arab Emirates,ARE,,,20200302,21.0,0.0,0.0
United Arab Emirates,ARE,,,20200303,27.0,0.0,0.0
United Arab Emirates,ARE,,,20200304,27.0,0.0,0.0
United Arab Emirates,ARE,,,20200305,29.0,0.0,0.0
United Arab Emirates,ARE,,,20200306,29.0,0.0,0.0
United Arab Emirates,ARE,,,20200307,45.0,0.0,0.0
United Arab Emirates,ARE,,,20200308,45.0,0.0,0.0
United Arab Emirates,ARE,,,20200309,45.0,0.0,0.0
United Arab Emirates,ARE,,,20200310,74.0,0.0,0.0
United Arab Emirates,ARE,,,20200311,74.0,0.0,0.0
United Arab Emirates,ARE,,,20200312,85.0,0.0,0.0
United Arab Emirates,ARE,,,20200313,85.0,0.0,0.0
United Arab Emirates,ARE,,,20200314,85.0,0.0,0.0
United Arab Emirates,ARE,,,20200315,98.0,0.0,0.0
