"","X.18426.","X.29.","X.0.000413223140495868.","X.0.0113681765213312.","X.0.0341817122448053.","X.4.28309390127266e.05.","X.0.000312521507016888.","X.9.94892916597304e.07.","X.2.14598079960879e.06.","X.Low.Risk."
"1","19094","191","0.00272157309774865","0.207044132118372","0.621902522121825","0.000780063062802132","0.00569183140912913","1.81010948088778e-05","3.90839050892626e-05","Medium Risk"
"15","19093","183","0.00260758050726703","0.198438268384812","0.596039459540455","0.000747639461353625","0.00545524839177825","1.73483245093845e-05","3.74593685330598e-05","Medium Risk"
"29","19092","183","0.00260758050726703","0.198659976677218","0.596653139325553","0.000748474773361037","0.0054613433542844","1.73661862732096e-05","3.75012206047377e-05","Medium Risk"
"43","19091","183","0.00260758050726703","0.198805673365862","0.597059948129544","0.000749023702731895","0.00546534868870341","1.73780268502585e-05","3.7528723898323e-05","Medium Risk"
"57","19090","163","0.00232259903106298","0.17712531546573","0.532016661742313","0.000667340410318884","0.0048693359411092","1.54848769566718e-05","3.34361034419966e-05","Medium Risk"
"71","19089","165","0.00235109717868339","0.179401338512474","0.538841322596962","0.000675915594221399","0.00493190588372392","1.56835155355072e-05","3.38657503381911e-05","Medium Risk"
"85","19088","166","0.00236534625249359","0.180520181125542","0.542281945680925","0.000680130965053757","0.00496266388426116","1.5783658310989e-05","3.40769552540297e-05","Medium Risk"
"99","19087","166","0.00236534625249359","0.180582798711523","0.542460954581253","0.000680366884156637","0.00496438529862343","1.57888685440419e-05","3.4088775631465e-05","Medium Risk"
"113","19086","170","0.0024223425477344","0.18499916619365","0.555682982091313","0.000697006066872515","0.00508579525548546","1.61737088767497e-05","3.49224572516333e-05","Medium Risk"
"127","19085","170","0.0024223425477344","0.185048555647803","0.555816458000083","0.000697192147436509","0.00508715301647848","1.61775938265504e-05","3.49317805428502e-05","Medium Risk"
"141","19084","170","0.0024223425477344","0.18505249907275","0.555791648468615","0.00069720700475273","0.00508726142481513","1.61768717203275e-05","3.49325249466872e-05","Medium Risk"
"155","19083","152","0.00216585921915076","0.165540154619055","0.497137525051203","0.000623691957398971","0.00455084933773509","1.44696848041403e-05","3.12491623181766e-05","Medium Risk"
"169","19082","150","0.00213736107153035","0.163332879228702","0.49054417088636","0.000615375788358922","0.00449016933069086","1.42777786378184e-05","3.08324929782645e-05","Medium Risk"
