index,date,fac_aggregate_cases,fac_aggregate_cases_per_pop,cum_risk_factor,cum_risk_factor_u,hosp_risk_lower,hosp_risk_upper,death_risk_lower,death_risk_upper,f_risk
8414,18495,0,0,0,0,0,0,0,0,Low Risk
8372,18498,0,0,0,0,0,0,0,0,Low Risk
8386,18497,0,0,0,0,0,0,0,0,Low Risk
8358,18499,0,0,0,0,0,0,0,0,Low Risk
8400,18496,0,0,0,0,0,0,0,0,Low Risk
8344,18500,0,0,0,0,0,0,0,0,Low Risk
8330,18501,0,0,0,0,0,0,0,0,Low Risk
8302,18503,0,0,0,0,0,0,0,0,Low Risk
8316,18502,0,0,0,0,0,0,0,0,Low Risk
8274,18505,0,0,0,0,0,0,0,0,Low Risk
8288,18504,0,0,0,0,0,0,0,0,Low Risk
8260,18506,0,0,0,0,0,0,0,0,Low Risk
8232,18508,0,0,0,0,0,0,0,0,Low Risk
8246,18507,0,0,0,0,0,0,0,0,Low Risk
3766,18827,2,2.84981476204047E-05,0.009639498432602,0.028918495297806,3.63179414662801E-05,0.000264998574872,8.41701724137931E-07,1.81965669827586E-06,Low Risk
3780,18826,2,2.84981476204047E-05,0.009639498432602,0.028918495297806,3.63179414662801E-05,0.000264998574872,8.41701724137931E-07,1.81965669827586E-06,Low Risk
3794,18825,2,2.84981476204047E-05,0.009639498432602,0.028918495297806,3.63179414662801E-05,0.000264998574872,8.41701724137931E-07,1.81965669827586E-06,Low Risk
3808,18824,2,2.84981476204047E-05,0.009639498432602,0.028918495297806,3.63179414662801E-05,0.000264998574872,8.41701724137931E-07,1.81965669827586E-06,Low Risk
3822,18823,2,2.84981476204047E-05,0.009639498432602,0.028918495297806,3.63179414662801E-05,0.000264998574872,8.41701724137931E-07,1.81965669827586E-06,Low Risk
3864,18820,2,2.84981476204047E-05,0.009639498432602,0.028918495297806,3.63179414662801E-05,0.000264998574872,8.41701724137931E-07,1.81965669827586E-06,Low Risk
3878,18819,2,2.84981476204047E-05,0.009639498432602,0.028918495297806,3.63179414662801E-05,0.000264998574872,8.41701724137931E-07,1.81965669827586E-06,Low Risk
3892,18818,2,2.84981476204047E-05,0.009639498432602,0.028918495297806,3.63179414662801E-05,0.000264998574872,8.41701724137931E-07,1.81965669827586E-06,Low Risk
3836,18822,3,4.2747221430607E-05,0.014459247648903,0.043377742946709,5.44769121994201E-05,0.000397497862308,1.2625525862069E-06,2.72948504741379E-06,Low Risk
3850,18821,3,4.2747221430607E-05,0.014459247648903,0.043377742946709,5.44769121994201E-05,0.000397497862308,1.2625525862069E-06,2.72948504741379E-06,Low Risk
